candidacy_id,person_id,link_status,method,evidence,reviewer,valid_from_release,valid_to_release
can_00055731ae3a53639aacc7c85c62bf85,per_9d0ddac367b553a7a2cefe1ab1ce9256,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_00055731ae3a53639aacc7c85c62bf85"",""source_authority"":""Toronto City Clerk"",""source_detail"":""https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip :: 2006_Toronto_Poll_by_Poll_Toronto_Catholic_District_School_Board.xls"",""source_resource"":""Elections — Official Results""}}",identity_review.bootstrap/v1,2026-08-20,
can_0009dc2a542151aea314d4d55c8eb696,per_bfeb6433b7045f53987741b482c15919,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_0009dc2a542151aea314d4d55c8eb696"",""source_authority"":""Elections Canada"",""source_detail"":""https://www.elections.ca/res/rep/off/ovr2019app/51/data_donnees/pollresults_resultatsbureau35.zip"",""source_resource"":""Official Voting Results — Raw Data""}}",identity_review.bootstrap/v1,2026-08-20,
can_0011203693df5f4bbd56eda350858802,per_8d4ee1006d5f5d0abac9460638da044a,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_0011203693df5f4bbd56eda350858802"",""source_authority"":""Toronto City Clerk"",""source_detail"":""https://www.toronto.ca/data/elections/candidate_list/councilorCandidates_2026.json"",""source_resource"":""2026 Municipal Election — Certified Candidates""}}",identity_review.bootstrap/v1,2026-08-21,
can_0021df0d9a665be98a70f0da86224ecb,per_2e862df7dac85e2f8407e3fac034ea8d,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_0021df0d9a665be98a70f0da86224ecb"",""source_authority"":""Elections Canada"",""source_detail"":""https://www.elections.ca/res/rep/off/ovr_2020/52/data_donnees/pollresults_resultatsbureau35118.csv"",""source_resource"":""Official Voting Results — Raw Data""}}",identity_review.bootstrap/v1,2026-08-20,
can_00345ce558e95abfa550cb54ccd28696,per_bd697d4b194051fb8d9ee70001761ad5,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_00345ce558e95abfa550cb54ccd28696"",""source_authority"":""Toronto City Clerk"",""source_detail"":""data/interim/results/2014/COUNCILLOR.xls"",""source_resource"":""Elections — Official Results""}}",identity_review.bootstrap/v1,2026-08-20,
can_003d188c89ca5e11b6fa757830c150c6,per_e7f657aec3e05c73987d3ae947f3e755,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_003d188c89ca5e11b6fa757830c150c6"",""source_authority"":""Elections Ontario"",""source_detail"":""https://results.elections.on.ca/api/report-groups/3/report-outputs/499/csv;https://results.elections.on.ca/api/report-groups/3/report-outputs/492/csv;https://results.elections.on.ca/api/report-groups/3/report-outputs/497/csv"",""source_resource"":""Official election results reports""}}",identity_review.bootstrap/v1,2026-08-20,
can_006325ce76af54bdb4b0fe4301583f97,per_54ad236d5cee51438e05958d6cde9d3d,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_006325ce76af54bdb4b0fe4301583f97"",""source_authority"":""Toronto City Clerk"",""source_detail"":""data/interim/results/2010/2010_Toronto_Poll_by_Poll_Councillor.xls"",""source_resource"":""Elections — Official Results""}}",identity_review.bootstrap/v1,2026-08-20,
can_0068501ce20f533fb835a21e5729c8be,per_4fcfcab22ced54d78aa8690e8d4dedcb,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_0068501ce20f533fb835a21e5729c8be"",""source_authority"":""Toronto City Clerk"",""source_detail"":""https://www.toronto.ca/data/elections/candidate_list/councilorCandidates_2026.json"",""source_resource"":""2026 Municipal Election — Certified Candidates""}}",identity_review.bootstrap/v1,2026-08-21,
can_006ba8203ce15ada8507e96ed3001763,per_ffe3c5e4da7f5556a227d0ebb126386a,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_006ba8203ce15ada8507e96ed3001763"",""source_authority"":""Toronto City Clerk"",""source_detail"":""data/interim/results/2018/2018_Toronto_Poll_By_Poll_Councillor.xlsx"",""source_resource"":""Elections — Official Results""}}",identity_review.bootstrap/v1,2026-08-20,
can_006fc44bbdc551b79df0a3932a826e8d,per_f33d1cb6667050a8a47553a7af38cb9b,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_006fc44bbdc551b79df0a3932a826e8d"",""source_authority"":""Elections Ontario"",""source_detail"":""https://results.elections.on.ca/api/report-groups/4/report-outputs/510/csv;https://results.elections.on.ca/api/report-groups/4/report-outputs/503/csv;https://results.elections.on.ca/api/report-groups/4/report-outputs/508/csv"",""source_resource"":""Official election results reports""}}",identity_review.bootstrap/v1,2026-08-20,
can_007011a338845c0fbc6c08782ea1a417,per_9112f8a8235358b5964f484404b5297f,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_007011a338845c0fbc6c08782ea1a417"",""source_authority"":""Toronto City Clerk"",""source_detail"":""https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/2fcd5f20-90f5-4dd0-88eb-22e978b9bf89/download/2018-results.zip :: 2018_Toronto_Poll_By_Poll_Conseil_scolaire_catholique_MonAvenir.xlsx"",""source_resource"":""Elections — Official Results""}}",identity_review.bootstrap/v1,2026-08-20,
can_007c61363a8851409d75f566d3b9acf9,per_d66daeb6471b5ac38b125e267c8b88a0,confirmed,official_candidacy_record,"{""rule"":""source_candidacy_anchor"",""source"":{""candidacy_id"":""can_007c61363a8851409d75f566d3b9acf9"",""source_authority"":""Toronto City Clerk"",""source_detail"":""data/interim/results/2018/2018_Toronto_Poll_By_Poll_Councillor.xlsx"",""source_resource"":""Elections — Official Results""}}",identity_review.bootstrap/v1,2026-08-20,
can_00828ccb087a59149781207e029ea8e4,per_c973b173a3fa5ae582459fed268c3292,proposed,exact_normalized_name_review,"{""current"":{""candidacy_id"":""can_00828ccb087a59149781207e029ea8e4"",""source_authority"":""Toronto City Clerk"",""source_detail"":""data/raw/byelection/2024-councillor-ward-15-poll-by-poll.xlsx"",""source_resource"":""Elections — Official By-election Results""},""related_candidacy_ids"":[""can_dba0973f10445ecbab1bc5ecb2199fec""],""review_scope"":""global_across_represented_bodies_and_office_types"",""rule"":""exact_name_only_not_identity_evidence""}",identity_review.bootstrap/v1,2026-08-20,2026-08-20
