contest_id,event_id,represented_body,office_type,district_id,official_district_id,district_name,boundary_regime,outcome_method,result_status,coverage_status,acclaimed,n_candidates,total_contest_votes,eligible_electors,ballots_cast,turnout_scope,source_authority,source_resource,source_detail,seats_available,turnout
con_117fad6c51b2500fbb3b775a6256c2c4,ec-be-2008-03-17,canada_house_of_commons,mp,dst_7960c816dafd5f6a901d49e6e65f9be4,35100,Willowdale,federal-2003-representation-order,vote,final,complete,False,4,22744,93027,22837,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/ele/pas/2008/csv/pollbypoll35100.csv | summary enrichment: https://www.elections.ca/Scripts/VIS/HistoricalResults/35100_e.html,1,0.2454878691132682
con_95081549ba29517fad54ee172059053d,ec-be-2008-03-17,canada_house_of_commons,mp,dst_833f9855578c5e41afa4546db6e63c44,35093,Toronto Centre,federal-2003-representation-order,vote,final,complete,False,6,23857,85962,23953,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/ele/pas/2008/csv/pollbypoll35093.csv | summary enrichment: https://www.elections.ca/Scripts/VIS/HistoricalResults/35093_e.html,1,0.278646378632419
con_c9e21d97541f5269a00cc01c4b5959f1,ec-be-2012-03-19,canada_house_of_commons,mp,dst_2b44aeb1727857e0b6020f8aab50fc7a,35094,Toronto—Danforth,federal-2003-representation-order,vote,final,complete,False,11,32319,75111,32469,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/res/rep/off/ovr_2012/pollbypoll_bureauparbureau35094.csv | summary enrichment: https://www.elections.ca/Scripts/VIS/HistoricalResults/35094_e.html,1,0.4322802252666054
con_cc45a2e6d40e5401b3cedf466cb739ac,ec-be-2013-11-25,canada_house_of_commons,mp,dst_833f9855578c5e41afa4546db6e63c44,35093,Toronto Centre,federal-2003-representation-order,vote,final,complete,False,11,34821,92780,34998,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/res/rep/off/ovr_2013b2/csv/35093_e.csv | summary enrichment: https://www.elections.ca/Scripts/VIS/HistoricalResults/35093_e.html,1,0.3772149170079759
con_58432d2f73ac5a0c940150d09c2b22e6,ec-be-2014-06-30,canada_house_of_commons,mp,dst_3744596ff33b5448b4953b6087725656,35080,Scarborough—Agincourt,federal-2003-representation-order,vote,final,complete,False,5,21672,74062,21793,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/res/rep/off/ovr_2014/csv/35080.csv | summary enrichment: https://www.elections.ca/Scripts/VIS/HistoricalResults/35080_e.html,1,0.2942534633145203
con_fb801e88a9bd5877971619c5686879b4,ec-be-2014-06-30,canada_house_of_commons,mp,dst_ec7099a5f12a56dba3805f2ecfcf3f25,35095,Trinity—Spadina,federal-2003-representation-order,vote,final,complete,False,6,34566,110252,34677,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/res/rep/off/ovr_2014/csv/35095.csv | summary enrichment: https://www.elections.ca/Scripts/VIS/HistoricalResults/35095_e.html,1,0.31452490657765847
con_6f51d7b2cb29501785b7d0cae26cfb79,ec-be-2017-12-11,canada_house_of_commons,mp,dst_07e5477b7f2b5c2a91214ffad9156308,35093,Scarborough—Agincourt,federal-2013-representation-order,vote,final,complete,False,7,18394,69007,18511,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/res/rep/off/ovr_2017d/46/data_donnees/pollresults_resultatsbureau35093.csv,1,0.26824814873853375
con_e5af6bc3cc055a089b110c829ffa4f7c,ec-be-2020-10-26,canada_house_of_commons,mp,dst_070935ea15895262bd2d2f99e4ada2ac,35118,York Centre,federal-2013-representation-order,vote,final,complete,False,6,18058,70543,18224,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/res/rep/off/ovr_2020/52/data_donnees/pollresults_resultatsbureau35118.csv,1,0.2583388855024595
con_3a27a61c21405651965fade810fb7fca,ec-be-2020-10-26,canada_house_of_commons,mp,dst_d58f3bdb6a6551c5ba69aa73fe9d0f8b,35108,Toronto Centre,federal-2013-representation-order,vote,final,complete,False,9,25205,81861,25323,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/res/rep/off/ovr_2020/52/data_donnees/pollresults_resultatsbureau35108.csv,1,0.3093414446439697
con_39cb5568987d5accb9642c74b182a8e3,ec-be-2024-06-24,canada_house_of_commons,mp,dst_91d049e056e05c6c855c5ba55a458282,35090,Toronto—St. Paul's,federal-2013-representation-order,vote,final,complete,False,84,36954,85726,37301,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/res/rep/off/ovr_2024b/58/data_donnees/pollresults_resultatsbureau35090.csv,1,0.4351188670881646
con_05ff7f2277e1583880aa954399029d5d,ec-be-2026-04-13,canada_house_of_commons,mp,dst_0097e7096a5f50c8b12a61f96e19eaf2,35112,University—Rosedale,federal-2023-representation-order,vote,final,complete,False,10,31028,94724,31115,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/res/rep/off/ovr_2026/64/data_donnees/pollresults_resultatsbureau35112.csv,1,0.3284806384865504
con_5ffbdafba383573390869bb41bf3a1db,ec-be-2026-04-13,canada_house_of_commons,mp,dst_0dc384db997c52fea2b28156e7a5a6f9,35096,Scarborough Southwest,federal-2023-representation-order,vote,final,complete,False,8,28909,86158,28998,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/res/rep/off/ovr_2026/64/data_donnees/pollresults_resultatsbureau35096.csv,1,0.3365677012001207
con_d21af1ce0ec75df28b2f61761a439169,ec-ge-38,canada_house_of_commons,mp,dst_2b44aeb1727857e0b6020f8aab50fc7a,35094,Toronto—Danforth,federal-2003-representation-order,vote,final,complete,False,6,47900,75151,48169,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/scripts/OVR2004/23/data/ON.zip | summary enrichment: https://www.elections.ca/scripts/OVR2004/23/data/table12.csv,1,0.6409628614389695
con_48ee5914c75c513292e797c6d2a5a78d,ec-ge-38,canada_house_of_commons,mp,dst_342bb7cf09f15af19dda3175126a3a23,35068,Parkdale—High Park,federal-2003-representation-order,vote,final,complete,False,6,46912,73527,47162,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/scripts/OVR2004/23/data/ON.zip | summary enrichment: https://www.elections.ca/scripts/OVR2004/23/data/table12.csv,1,0.6414242387150298
con_2c43543429095f69b182d11e234b64f9,ec-ge-38,canada_house_of_commons,mp,dst_3744596ff33b5448b4953b6087725656,35080,Scarborough—Agincourt,federal-2003-representation-order,vote,final,complete,False,5,41198,73391,41422,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/scripts/OVR2004/23/data/ON.zip | summary enrichment: https://www.elections.ca/scripts/OVR2004/23/data/table12.csv,1,0.564401629627611
con_c377ca4004145d03ac8aceb5f640df9a,ec-ge-38,canada_house_of_commons,mp,dst_43256155db1e5c15bf0388fbe1fcb147,35084,Scarborough Southwest,federal-2003-representation-order,vote,final,complete,False,5,37963,66797,38178,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/scripts/OVR2004/23/data/ON.zip | summary enrichment: https://www.elections.ca/scripts/OVR2004/23/data/table12.csv,1,0.5715526146383819
con_2981a9007fcc516aab8c58e1dfdf65ab,ec-ge-38,canada_house_of_commons,mp,dst_5c7f49d97e1b500c8fb874c86c10474b,35005,Beaches—East York,federal-2003-representation-order,vote,final,complete,False,8,46933,73623,47137,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/scripts/OVR2004/23/data/ON.zip | summary enrichment: https://www.elections.ca/scripts/OVR2004/23/data/table12.csv,1,0.6402482919739755
con_d3f761c215705b648200064fba9e72c2,ec-ge-38,canada_house_of_commons,mp,dst_785f283b3f18541f910909c0aa9950ad,35105,York South—Weston,federal-2003-representation-order,vote,final,complete,False,5,34325,66893,34591,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/scripts/OVR2004/23/data/ON.zip | summary enrichment: https://www.elections.ca/scripts/OVR2004/23/data/table12.csv,1,0.5171094135410282
con_cc860a1b7f1c59f1a485ec611266211c,ec-ge-38,canada_house_of_commons,mp,dst_7960c816dafd5f6a901d49e6e65f9be4,35100,Willowdale,federal-2003-representation-order,vote,final,complete,False,6,50262,82856,50474,federal_electoral_district,Elections Canada,Official Voting Results — Raw Data,https://www.elections.ca/scripts/OVR2004/23/data/ON.zip | summary enrichment: https://www.elections.ca/scripts/OVR2004/23/data/table12.csv,1,0.609177367963696
