election_year,member_name,candidate_id,office,match_key,incumbent_source,confidence,candidate_id_resolution
2003,Gerry Altobello,c00091,councillor,altobello gerry,wikipedia,0.85,matched
2003,Anne Johnston,c00140,councillor,anne johnston,wikipedia,0.85,matched
2003,Brian Ashton,c00187,councillor,ashton brian,wikipedia,0.85,matched
2003,Maria Augimeri,c00199,councillor,augimeri maria,wikipedia,0.85,matched
2003,Bas Balkissoon,c00218,councillor,balkissoon bas,wikipedia,0.85,matched
2003,Lorenzo Berardinetti,c00257,councillor,berardinetti lorenzo,wikipedia,0.85,matched
2003,Brad Duguid,,councillor,brad duguid,wikipedia,0.85,no_results_match
2003,Sandra Bussin,c00354,councillor,bussin sandra,wikipedia,0.85,matched
2003,Case Ootes,c00394,councillor,case ootes,wikipedia,0.85,matched
2003,Raymond Cho,c00444,councillor,cho raymond,wikipedia,0.85,matched
2003,Olivia Chow,c00449,councillor,chow olivia,wikipedia,0.85,matched
2003,Chris Korwin-Kuczynski,,councillor,chris korwin-kuczynski,wikipedia,0.85,no_results_match
2003,David Miller,c00598,councillor,david miller,wikipedia,0.85,matched
2003,David Shiner,c00607,councillor,david shiner,wikipedia,0.85,matched
2003,David Soknacki,c00608,councillor,david soknacki,wikipedia,0.85,matched
2003,Denzil Minnan-Wong,c00636,councillor,denzil minnan-wong,wikipedia,0.85,matched
2003,Frank Di Giorgio,c00654,councillor,di frank giorgio,wikipedia,0.85,matched
2003,Fred Dominelli,c00678,councillor,dominelli fred,wikipedia,0.7,matched
2003,Doug Holyday,c00687,councillor,doug holyday,wikipedia,0.85,matched
2003,Mike Feldman,,councillor,feldman mike,wikipedia,0.85,no_results_match
2003,John Filion,c00755,councillor,filion john,wikipedia,0.85,matched
2003,Joanne Flint,,councillor,flint joanne,wikipedia,0.85,no_results_match
2003,Rob Ford,c00763,councillor,ford rob,wikipedia,0.85,matched
2003,Frances Nunziata,c00773,councillor,frances nunziata,wikipedia,0.85,matched
2003,George Mammoliti,c00837,councillor,george mammoliti,wikipedia,0.7,matched
2003,Gloria Lindsay Luby,c00847,councillor,gloria lindsay luby,wikipedia,0.85,matched
2003,Suzan Hall,c00883,councillor,hall suzan,wikipedia,0.85,matched
2003,Howard Moscoe,c00925,councillor,howard moscoe,wikipedia,0.85,matched
2003,Irene Jones,,councillor,irene jones,wikipedia,0.85,no_results_match
2003,Jane Pitfield,c00965,councillor,jane pitfield,wikipedia,0.85,matched
2003,Joe Mihevc,c01000,councillor,joe mihevc,wikipedia,0.85,matched
2003,Joe Pantalone,c01001,councillor,joe pantalone,wikipedia,0.85,matched
2003,Laura Jones,,councillor,jones laura,wikipedia,0.85,no_results_match
2003,Norm Kelly,c01071,councillor,kelly norm,wikipedia,0.85,matched
2003,Kyle Rae,c01125,councillor,kyle rae,wikipedia,0.85,matched
