event_id,election_date,election_year,election_type,election_authority
on-2003-general,2003-10-02,2003,general,elections_ontario
evt_d89f777f34365c37b114ca39fb376591,2003-11-10,2003,general,toronto_city_clerk
ec-ge-38,2004-06-28,2004,general,elections_canada
on-2005-11-24-by-076,2005-11-24,2005,by_election,elections_ontario
ec-ge-39,2006-01-23,2006,general,elections_canada
on-2006-03-30-by-008,2006-03-30,2006,by_election,elections_ontario
on-2006-09-14-by-064,2006-09-14,2006,by_election,elections_ontario
evt_159f073fa6f15c23a840651723d3c3af,2006-11-13,2006,general,toronto_city_clerk
on-2007-02-08-by-102,2007-02-08,2007,by_election,elections_ontario
on-2007-general,2007-10-10,2007,general,elections_ontario
ec-be-2008-03-17,2008-03-17,2008,by_election,elections_canada
ec-ge-40,2008-10-14,2008,general,elections_canada
on-2009-09-17-by-077,2009-09-17,2009,by_election,elections_ontario
on-2010-02-04-by-094,2010-02-04,2010,by_election,elections_ontario
evt_5a786c1da7ec5e758036205f04351fc5,2010-10-25,2010,general,toronto_city_clerk
ec-ge-41,2011-05-02,2011,general,elections_canada
on-2011-general,2011-10-06,2011,general,elections_ontario
evt_0053e297e0b15f179a94dee854971a09,2012-02-27,2012,by_election,toronto_city_clerk
ec-be-2012-03-19,2012-03-19,2012,by_election,elections_canada
evt_a87f3eb9595a59af890e07aadd93c89c,2012-12-10,2012,by_election,toronto_city_clerk
on-2013-08-01-by-024,2013-08-01,2013,by_election,elections_ontario
on-2013-08-01-by-082,2013-08-01,2013,by_election,elections_ontario
ec-be-2013-11-25,2013-11-25,2013,by_election,elections_canada
on-2014-general,2014-06-12,2014,general,elections_ontario
ec-be-2014-06-30,2014-06-30,2014,by_election,elections_canada
evt_54673fd104ab5ef08eb865e162ac040c,2014-10-27,2014,general,toronto_city_clerk
ec-ge-42,2015-10-19,2015,general,elections_canada
evt_3db5605f67e85c3a988ee6fcbcee0c3b,2016-01-25,2016,by_election,toronto_city_clerk
evt_8ca589beb65b56f5863df3f1f1b621fd,2016-06-20,2016,by_election,toronto_city_clerk
evt_24ccf52d7b0f5fe39baf960f9ab5cb20,2016-07-25,2016,by_election,toronto_city_clerk
evt_552c4874312956ae84afbbc5ee91b0f7,2016-07-25,2016,by_election,toronto_city_clerk
evt_ae45ae96069c5f2aacddabffa8135f7f,2016-07-25,2016,by_election,toronto_city_clerk
on-2016-09-01-by-083,2016-09-01,2016,by_election,elections_ontario
evt_b8284a5341635f79babdf7ddc512c2f6,2017-02-13,2017,by_election,toronto_city_clerk
ec-be-2017-12-11,2017-12-11,2017,by_election,elections_canada
on-2018-general,2018-06-07,2018,general,elections_ontario
evt_e4fe1909276b5fbd91057022b350fff3,2018-10-22,2018,general,toronto_city_clerk
ec-ge-43,2019-10-21,2019,general,elections_canada
ec-be-2020-10-26,2020-10-26,2020,by_election,elections_canada
evt_50c15fe55fa753fba75abfada8da3c38,2021-01-15,2021,by_election,toronto_city_clerk
ec-ge-44,2021-09-20,2021,general,elections_canada
on-2022-general,2022-06-02,2022,general,elections_ontario
evt_a52ef78967f05336bdb5d591fd50f122,2022-10-24,2022,general,toronto_city_clerk
evt_46748e0a4d03523eacc3872451cccd25,2023-01-23,2023,by_election,toronto_city_clerk
evt_eabc9f0a14165449acd2f9a1e7d557ce,2023-06-26,2023,by_election,toronto_city_clerk
on-2023-07-27-by-095,2023-07-27,2023,by_election,elections_ontario
evt_ee5715a80b5a532c8b778d94f6b7c9b8,2023-11-30,2023,by_election,toronto_city_clerk
ec-be-2024-06-24,2024-06-24,2024,by_election,elections_canada
evt_af73d490abf95ffdae38ca2c830e51f4,2024-11-04,2024,by_election,toronto_city_clerk
on-2025-general,2025-02-27,2025,general,elections_ontario
evt_90520bfc6b2258a4b4d4b3b4de469794,2025-03-03,2025,by_election,toronto_city_clerk
ec-ge-45,2025-04-28,2025,general,elections_canada
evt_ca435dada07f5ed9b041b7c3d24de732,2025-09-29,2025,by_election,toronto_city_clerk
ec-be-2026-04-13,2026-04-13,2026,by_election,elections_canada
evt_27c3a2e636a457f1b1f922774525b74a,2026-10-26,2026,general,toronto_city_clerk
