candidacy_id,person_id,event_id,contest_id,election_date,election_year,election_type,election_authority,represented_body,office_type,district_id,official_district_id,district_name,boundary_regime,candidate_name,candidate_name_raw,party_id,party_name,party_name_raw,party_jurisdiction,affiliation_status,votes,total_contest_votes,vote_share,vote_rank,n_candidates,eligible_electors,ballots_cast,turnout,turnout_scope,elected,acclaimed,outcome_method,result_status,coverage_status,incumbent,incumbent_office_tenure_id,incumbent_reported,source_authority,source_resource,source_detail,source_candidacy_id
can_1263aa8e1ffa51148e76ff3e03aebdfa,per_a4291ca7539b53e2acc1c4f108bc73e6,toronto-1991-general,con_7042b32a10c55d19bda8b68cea990678,1991-11-12,1991,general,toronto_city_clerk,metro_toronto_council,councillor,dst_5b822d9dfd86536faa00114fbe7445b2,downtown,Downtown,metro-toronto-1991,Olivia Chow,Olivia Chow,,,,toronto_city_clerk,non_partisan,10024,20905,0.4795025113609184,1,5,,,,,True,False,vote,final,candidate_record,,,,Toronto City Clerk,Archived 1991 municipal election results,https://web.archive.org/web/20130501150112/http://www.toronto.ca/elections/results/results_1991.htm,mcb_acb473030b2554299e80456052ab7773
can_e113331292615aa0a126016fefc7f75c,per_546a50310fbe5401a126a3864d97fbb3,east-york-1994-general,con_e1647f53d341508bbb48f8aac5087a3d,1994-11-14,1994,general,east_york_city_clerk,east_york_borough_council,mayor,dst_7081601692535735b19a07bdc5b974c4,city,Borough of East York,east-york-1994-citywide,Kevin Clarke,Kevin Clarke,,,,east_york_city_clerk,non_partisan,788,24754,0.0318332390724731,4,5,,,,,False,False,vote,final,candidate_record,,,,Wikipedia citing the Toronto Star,1994 East York mayoral result,https://en.wikipedia.org/wiki/1994_Toronto_municipal_election,mcb_8c58d53e645d5f06a946a88bb13b258a
can_f9549650f1735b2b9acb4a6e31040031,per_a4291ca7539b53e2acc1c4f108bc73e6,toronto-1994-general,con_16b79ea143c558dab04b4cf2886f1933,1994-11-14,1994,general,toronto_city_clerk,metro_toronto_council,councillor,dst_82cb95c796095befb4afa145620d58b1,downtown,Downtown,metro-toronto-1994,Olivia Chow,Olivia Chow,,,,toronto_city_clerk,non_partisan,13327,19267,0.6917008356256812,1,2,,,,,True,False,vote,final,candidate_record,,,,Toronto City Clerk,Archived 1994 municipal election results,https://web.archive.org/web/20030622172104/http://www.toronto.ca/elections/results/results_1994.htm,mcb_a0d89937c2e2598ea6bebe4303fa39df
can_42f84e1cea4258d4ae21c333e3dbbeff,per_546a50310fbe5401a126a3864d97fbb3,on-1995-general,con_b9c89ee090d453419cc17fba58e453c1,1995-06-08,1995,general,elections_ontario,ontario_legislative_assembly,mpp,dst_b907673c92f75e30aa67debd52a58487,york-south,York South,ontario-1987-130,Kevin Clarke,Kevin Clarke,,,Independent,elections_ontario,independent,170,25321,0.0067137948738201,7,9,,,,,False,False,vote,final,candidate_record,,,,Wikipedia citing Elections Ontario,1995 Ontario general election result by riding,https://en.wikipedia.org/wiki/Results_of_the_1995_Ontario_general_election_by_riding,mcb_37e25614fdc95e7791c39c3debf7dbf7
can_850223cdbefd5a5e81918c9104bf4d76,per_546a50310fbe5401a126a3864d97fbb3,on-1996-05-23-by-york-south,con_3b443271fe215e158e6ba6ace4b6540a,1996-05-23,1996,by_election,elections_ontario,ontario_legislative_assembly,mpp,dst_b907673c92f75e30aa67debd52a58487,york-south,York South,ontario-1987-130,Kevin Clarke,Kevin Clarke,,,Independent,elections_ontario,independent,70,19821,0.003531607890621,6,6,,,,,False,False,vote,final,candidate_record,,,,Wikipedia citing Elections Ontario,1996 York South provincial by-election result,https://en.wikipedia.org/wiki/1995_Ontario_general_election,mcb_7c623313af1b56c4a37bcc5e554a7472
can_4c0f725a4706558c9eb6a1db7cc0cae8,per_546a50310fbe5401a126a3864d97fbb3,ec-ge-36,con_836cf1787bac5793ad709e22d6770a81,1997-06-02,1997,general,elections_canada,canada_house_of_commons,mp,dst_67d1a0e638e05eff94d3fc583254fe0b,broadview-greenwood,Broadview-Greenwood,federal-1996-representation-order,Kevin Clarke,Kevin Clarke,,,Independent,elections_canada,independent,211,42423,0.0049737170874289,6,8,,,,,False,False,vote,final,candidate_record,,,,Elections Canada,36th general election official result,https://www.elections.ca/content.aspx?anchor=le&dir=rep%2Foff%2Fdec3097&document=res_table1206&lang=e&section=res,mcb_f2c19ef41cbe59fbb23e7dbf1f81cb7e
can_bb94f1e3fd125b5eb2687a334c11ad3b,per_a4291ca7539b53e2acc1c4f108bc73e6,toronto-1997-general,con_d7ff0d7faa695e15b19ef05eaf2a93f5,1997-11-10,1997,general,toronto_city_clerk,toronto_city_council,councillor,dst_3233f17978b35052a32d608956d73484,24,Ward 24 Downtown,toronto-1997-wards,Olivia Chow,Olivia Chow,,,,toronto_city_clerk,non_partisan,20453,49772,0.4109338583942779,1,9,,,,,True,False,vote,final,candidate_record,,,,Toronto City Clerk,1997 municipal election results,http://www.toronto.ca/elections/results/results_1997.htm,mcb_9df884ee157a57d887f9b7e165384eaf
can_201498937bf450e29f2cc78b21361402,per_a4291ca7539b53e2acc1c4f108bc73e6,toronto-2000-general,con_fdb17fc50f125d17af9f8b0a22566116,2000-11-13,2000,general,toronto_city_clerk,toronto_city_council,councillor,dst_1c6025a943295f8eb4c5b8201c35278e,20,Ward 20 Trinity-Spadina,toronto-2000-wards,Olivia Chow,Olivia Chow,,,,toronto_city_clerk,non_partisan,9477,11743,0.8070339776888359,1,3,,,,,True,False,vote,final,candidate_record,,,,Toronto City Clerk,2000 municipal election results,http://www.toronto.ca/elections/results/results_2000.htm,mcb_a63809d41357505c95f345cf0e63acf9
can_65d81053ff495581a73c4ea56fb2a0bb,per_546a50310fbe5401a126a3864d97fbb3,toronto-2000-general,con_6ceb544d3ce75d4982d40abff5e8829e,2000-11-13,2000,general,toronto_city_clerk,toronto_city_council,mayor,dst_1161d4e3719f5be1ba59fd9985cfa8a8,city,City of Toronto,toronto-2000-citywide,Kevin Clarke,Kevin Clarke,,,,toronto_city_clerk,non_partisan,4147,604394,0.0068614182139465,7,26,,,,,False,False,vote,final,candidate_record,,,,Wikipedia citing the Toronto Star,2000 Toronto mayoral election result,https://en.wikipedia.org/wiki/2000_Toronto_municipal_election,mcb_e54d7615fb4c5014860831cc25a81d2c
can_3c771efbacd250c3a77384ff08582eb6,per_546a50310fbe5401a126a3864d97fbb3,on-2001-09-20-by-003,con_fb12b0317a8250818fbd91cedf1a639e,2001-09-20,2001,by_election,elections_ontario,ontario_legislative_assembly,mpp,dst_bfa54f79b68655e899f27091bfbfd49e,003,Beaches—East York,ontario-1999-103,Kevin Clarke,Kevin Clarke,,,Independent,elections_ontario,independent,94,28144,0.00333996588971,6,8,,,,,False,False,vote,final,candidate_record,,,,Ontario Gazette,2001 Beaches-East York by-election official result notice,https://files.ontario.ca/books/139-19.pdf,mcb_547a8362a0225badb1bcdd82276851d0
can_7fdaebce9cd657198d852315378dff9a,per_6254d5a51a3a57ca9c25f2741efa7eb3,on-2003-general,con_102b32eadfcb5a4a80646e78fdf78f2b,2003-10-02,2003,general,elections_ontario,ontario_legislative_assembly,mpp,dst_0a8d2a9d4ed35e829926b3feba9ef26f,091,Trinity—Spadina,ontario-1999-103,ROSARIO MARCHESE,ROSARIO MARCHESE,pty_82008e4fb4f659149c664f9d4d6e464b,New Democratic Party of Ontario,NEW DEMOCRATIC,elections_ontario,party,19268,40554,0.47511959362824874,1,6,78790,41007,0.5204594491686763,provincial_electoral_district,True,False,vote,final,complete,True,ten_228ed063b8f55c568fc00cf76f83281a,True,Elections Ontario,Official election results reports,https://results.elections.on.ca/api/report-groups/5/report-outputs/521/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/514/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/519/csv,project-ledger:occ_864a60fafc1c5b2a9acb52926a4a2693
can_15ddab4ce6965febad2feb8e87938d9c,per_03b6008242f554e59fa8bb05090a7262,on-2003-general,con_102b32eadfcb5a4a80646e78fdf78f2b,2003-10-02,2003,general,elections_ontario,ontario_legislative_assembly,mpp,dst_0a8d2a9d4ed35e829926b3feba9ef26f,091,Trinity—Spadina,ontario-1999-103,NELLIE PEDRO,NELLIE PEDRO,pty_8e15c0722af6590fb0bf461b2d664981,Ontario Liberal Party,LIBERAL,elections_ontario,party,12927,40554,0.31876017162302117,2,6,78790,41007,0.5204594491686763,provincial_electoral_district,False,False,vote,final,complete,False,,False,Elections Ontario,Official election results reports,https://results.elections.on.ca/api/report-groups/5/report-outputs/521/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/514/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/519/csv,project-ledger:occ_7ad5e19cbd1f58c695aa7e6d065d3f00
