endorser_id,canonical_name,endorser_type,person_id,is_panel_endorser,panel_basis,eligibility_start_date,mayor_applicable,councillor_applicable,panel_evidence_url
edr_5c1c75b89db75f0a85c5f1dcc9d06149,Elementary Teachers of Toronto (ETT),organization,,True,2023 endorsement plus Toronto mayoral endorsement in another event,2003-01-01,True,True,https://opseu.org/en/news/public-and-private-sector-union-leaders-endorse-olivia-chow-for-mayor-of-toronto/193565/
edr_60054ff9f17d5cb5889a78d123699005,Progress Toronto,organization,,True,named 2023-anchored champion-selection exception,2018-01-01,True,True,https://www.progresstoronto.ca/media-release-may10-progressive-mayoral-champions
edr_69f1317690e6571bb2b2e9a7e9690ab8,Amalgamated Transit Union Local 113,organization,,True,2023 endorsement plus formal multi-contest Toronto council slate,2003-01-01,True,True,https://wemovetoronto.ca/atu-local-113-endorses-candidates-for-the-2022-ontario-municipal-election/
edr_7130092faf1a5c159a3507bbd8db42ee,Toronto Star Editorial Board,editorial_board,,True,2023-anchored municipal editorial-board practice,2003-01-01,True,True,https://www.thestar.com/opinion/editorials/2023/06/21/ana-bailo-is-the-best-choice-to-lead-toronto.html
edr_7ba4ca8cc46e50b3b3184eae43467614,CUPE Ontario,organization,,True,2023 endorsement plus Toronto mayoral endorsement in another event,2003-01-01,True,True,https://cupe.on.ca/public-and-private-sector-union-leaders-endorse-olivia-chow-for-mayor-of-toronto/
edr_a7c5fbf78b725c8db8ec32c4c4fc177a,David Miller,person,per_ad293f1387af572cad45897886519bb6,True,living amalgamated-Toronto mayor as of 2026-08-20,2003-12-01,True,True,https://www.toronto.ca/explore-enjoy/history-art-culture/mayors-councillors-reeves-chairmen/mayor-reeve-chairman/
edr_b354a54e105b5740832e28b07732b4c3,Toronto Sun Editorial Board,editorial_board,,True,2023-anchored municipal editorial-board practice,2003-01-01,True,True,https://torontosun.com/opinion/editorials/editorial-mark-saunders-will-have-your-back
edr_b79f2a6f6d3f5775bc7042336f462560,Olivia Chow,person,per_a4291ca7539b53e2acc1c4f108bc73e6,True,living amalgamated-Toronto mayor as of 2026-08-20,2023-07-12,True,True,https://www.toronto.ca/news/mayor-olivia-chow-takes-office-as-mayor-of-toronto/
edr_bdd4b13ef74d501780c8fcadd091591e,John Tory,person,per_a9eb70da799659daaa285f92cfed1674,True,living amalgamated-Toronto mayor as of 2026-08-20,2014-12-01,True,True,https://www.toronto.ca/explore-enjoy/history-art-culture/mayors-councillors-reeves-chairmen/mayor-reeve-chairman/
edr_efc8ef876caa50c3b1edab9e52464b32,The Globe and Mail Editorial Board,editorial_board,,False,verified historical facts outside the frozen systematic panel,2003-01-01,True,False,https://www.proquest.com/docview/2383842806
