party_id,jurisdiction,canonical_name,party_name_raw
pty_6d22cea2dad5596b9eaeeda7454f9a51,elections_canada,Animal Protection Party,Animal Protection Party
pty_fa125c3e5f53576dbfe705c4b0acd5bc,elections_canada,CFF - Canada's Fourth Front,CFF - Canada's Fourth Front
pty_a2693b9e27dd5a23ac32aa7418faf7e1,elections_canada,Canadian Action Party,Canadian Action Party
pty_c2f81abf68da53eeb5f3572f78f79ba9,elections_canada,Canadian Future Party,Canadian Future Party
pty_ec2178b6041d5aaa9c3808e4df200ee7,elections_canada,Centrist,Centrist
pty_16839c0f1f0955ec83d67d7259a751de,elections_canada,Christian Heritage Party of Canada,Christian Heritage Party
pty_37e224706ee15295b4fdf8a8a55d9412,elections_canada,Communist,Communist
pty_64e887518429547ca63fc713349ba655,elections_canada,Conservative Party of Canada,Conservative
pty_84a74c50520454358fc799db0105e9ef,elections_canada,Free Party Canada,Free Party Canada
pty_febebad2d94f5243be40a81164f158cb,elections_canada,Green Party of Canada,Green Party
pty_f3cb781d63065a87a25726041d47923d,elections_canada,Liberal Party of Canada,Liberal
pty_1db032951d705b37afb2ddf47ae87e2d,elections_canada,Libertarian Party of Canada,Libertarian
pty_1594e93ee89a5a3a9f20e53ce8789f23,elections_canada,Marijuana Party,Marijuana Party
pty_7fb56bac238d5dfe8c2644404a22f6e2,elections_canada,Marxist-Leninist,Marxist-Leninist
pty_2b3c3ae18616561a94f02bc10f8feaa3,elections_canada,National Citizens Alliance,National Citizens Alliance
pty_1acc34bc35b95701adae300712d42ceb,elections_canada,Nationalist,Nationalist
pty_7923361c692b53d3b3244c465bb00c74,elections_canada,New Democratic Party,NDP-New Democratic Party
pty_f45f96e0c8aa573a9745c8c479c0fdac,elections_canada,Online Party of Canada,Online Party of Canada
pty_05ed6f141f195decbcc24c0bd8de8a15,elections_canada,PACT,PACT
pty_c99a441c51b05e68a957c53d117e7e4d,elections_canada,Parti Rhinocéros Party,Parti Rhinocéros Party
pty_2aac317ef30a5dbf98ace1236a772c10,elections_canada,People's Party - PPC,People's Party - PPC
pty_7af62f06eaca5e5a89537c0e56ef2f92,elections_canada,Progressive Canadian Party,PC Party
pty_51e7f114abdb5aa1990c96e404f23b62,elections_canada,Stop Climate Change,Stop Climate Change
pty_9c94bda67da55af9a1fed37934980de5,elections_canada,The Bridge,The Bridge
pty_c6e67b4597be5824a517ed97fb6e9e13,elections_canada,United Party of Canada,UPC
pty_a1563ad0408b568796dc80d3fb8fa914,elections_ontario,Canadian Economic Party,Canadian Economic Party
pty_30bbd4471ace5f6f97109aa1770171a3,elections_ontario,Canadians' Choice Party,Canadians' Choice Party
pty_379e571993d35c2ea1cc2500ceb0cc6a,elections_ontario,Communist Party of Canada (Ontario),Communist Party of Canada (Ontario)
