person_id,preferred_name,identity_status,redirect_to_person_id,created_release
per_000472303d6757c3aeed6254ebfba92c,Annette Hutcheon,active,,2026-08-20
per_00276c1d545b572eab7f47c25f9b51dc,Zeynel Ari,active,,2026-08-20
per_0033400b023b5f67913ec4acaed27907,Charles Ozzoude,active,,2026-08-20
per_0059b325cc605aeeb4c8e1c6f91bc258,Case Ootes,active,,2026-08-20
per_005dc6272c20520eb038763ad9f9f723,Alonzo Bartley,active,,2026-08-20
per_00683594eb4059f19f8ab58c09790e70,A.A. Heaps,active,,2026-08-20
per_006bd7139b9a5af7a48be2d61f25ae4c,HAL DAVID BERMAN,active,,2026-08-20
per_00921a06f9c055308d625ebdf0b27711,Glenn Coles,active,,2026-08-20
per_00a16182493f530abb7c129f4d132ee7,Devendra Sharma,active,,2026-08-20
per_00b0b71d92ce5b758026b915b3f28190,Ballots Declined,active,,2026-08-20
per_00c2ab135ec45e32af7d7b0cd5f14eb0,BRUCE BUDD,active,,2026-08-20
per_00e64e17c11c53dda58b84c32f908dba,Ellen Michelson,active,,2026-08-20
per_00e88da3f4295154a9273797c99df368,FRANK CHU,active,,2026-08-20
per_00edf37e4f1b5989ac614ce909877abb,MARK DAYE,active,,2026-08-20
per_00f30ea06d545d1fb20b7892d7427a36,Barbara Poplawski,active,,2026-08-20
per_0110fbf46cab5b33bbc71f78ae7ea9f0,Nasir Duza,active,,2026-08-20
per_01119b3796d75bde9ce3f96b57693a35,Jude Sulejmani,active,,2026-08-20
per_0119c1860ea25247815e8526422ac5f2,Valérie Rousseau,active,,2026-08-20
per_01385977e05c5b489043140a6871ded8,Priyan de Silva,active,,2026-08-20
per_01398e50b69d52a59d2b9eeba01db529,Rick Telfer,active,,2026-08-20
per_013de966bb2c56608e603464c752c310,Michelle Simson,active,,2026-08-20
per_0142206c1595501dad485209367a4b24,Samuel Ducharme,active,,2026-08-20
per_014787fa149b54f78e663cf2ba5dcabe,BRIAN MORRIS,active,,2026-08-20
per_0159d06df59059139ff179bc198e03b4,MARK SCOTT,active,,2026-08-20
per_0169ee518f8e562493cda0d1e575a863,JAMES MCCONNELL,active,,2026-08-20
per_016d08848c595d209359216c7048ea35,FELIX LIAO,active,,2026-08-20
per_01780f04b9ba5025b37cc2413bef211a,JUDITH VAN VELDHUYSEN,active,,2026-08-20
per_01793ba561c456fb8eb0c6838cec11f2,Douglas Owen,active,,2026-08-20
per_01bb7118c6c25fb0b73232bc17fc01db,Colleen Mills,active,,2026-08-20
per_01c25113fe1858c1934a1070c3238b71,Stefano Tesoro,active,,2026-08-20
per_01d27f754bc75218aa848e00887a9d36,Andre Duclos,active,,2026-08-20
per_01e55c64208d564aad668a9cbe1847a7,Aasia Khatoon,active,,2026-08-20
per_01ec56238970573da3fd164ca3a8a62e,MARY MARKOVIC,active,,2026-08-20
per_021ca7f9d5b057ce915630c17e547095,Paul Baker,active,,2026-08-20
per_0223dedf507754a3854b961824adcf83,Nicholas Brooks,active,,2026-08-20
per_022858fa191a541eaa442dd0e9cefd5d,Naser Kaid,active,,2026-08-20
per_026de5df32405530873ac380edbff52f,Neel Venugopal,active,,2026-08-20
per_0277eb81ad4d5dc7a2bc6e55e4756875,Teresa Lubinski,active,,2026-08-20
per_027e4ec097c05f859f63fc8b3605fa9a,Avraham Arrobas,active,,2026-08-20
per_02818d8eb4cc5bbd80aeb1f3587f7dcc,NICK BALASKAS,active,,2026-08-20
per_02b048dfa7e95485addd4ecd803ef0e9,Lisa Robinson,active,,2026-08-20
per_02e00c77047c5d41b5dfced8cb84fa02,Daniel Lee,active,,2026-08-20
per_02e1241d551453eca03dcc3e2de3c480,Cleveland Marshall,active,,2026-08-20
per_0328845393da506893839ebcbf7d677e,Ihor Klufas,active,,2026-08-20
per_033bfaeec54b5b3fb41e0d651a17bd96,Baquie Ghazi,active,,2026-08-20
per_0355d36294a75c4d862f915f2f025d3e,CONNOR TARAS,active,,2026-08-20
per_03601582a11a5435bafae7b459371a86,John Chiappetta,active,,2026-08-20
per_036814eac38f549c90d3a461b75bd502,Mario Lamanna,active,,2026-08-20
per_0369c3b1fbec5c0989e596413f7299ac,KATHLEEN MATHURIN,active,,2026-08-20
per_037a060b918859b291c79d6e8e9c1730,Tony Backhurst,active,,2026-08-20
per_038cc72298e557cf8090e925c2f00de0,Roman Baber,active,,2026-08-20
per_038e210ae4f25864bf2d3e49d7039bb0,Sherene Shaw,active,,2026-08-20
per_03b6008242f554e59fa8bb05090a7262,NELLIE PEDRO,active,,2026-08-20
per_03d63913c07a5476ad459f21d58ec10b,Michael Coteau,active,,2026-08-20
per_03ee298a438954bf91d2e85471482503,SVETLOZAR ALEKSIEV,active,,2026-08-20
per_03fd17e37b345d29b1f27311a7c9d14b,Dorian Baxter,active,,2026-08-20
per_040556a4b0785e77ad380cb3b65500b5,Nicole Arsenault,active,,2026-08-20
per_042f5b6415295795bb34a1204441f291,Carmel Suttor,active,,2026-08-20
per_044c7d376c015f8e9fc06249f2ceabfc,Philip Desouza,active,,2026-08-20
per_047c29c65048565e8c30a5077bd4679c,Orhan Aybars,active,,2026-08-20
per_0483d7ff289356e1880e355bd328a312,Michelle Holland-Berardinetti,active,,2026-08-20
per_0496a2c5b3305559810a053da6c36389,JEFF MOLE,active,,2026-08-20
per_04b7ed964f695087ad0e4231efa9bfb1,Muhammad Saeed,active,,2026-08-20
per_04ef7745e72b5373857476e89b23c313,ALISON LOWNEY,active,,2026-08-20
per_05106b1fdf0e54ff871ea217a95937b7,William Gallos,active,,2026-08-20
per_0517e294728a58aa874e4aabcca03521,Ratan Wadhwa,active,,2026-08-20
per_051b61c6340e57bcad7f416bb63e4571,Sharon Kerr,active,,2026-08-20
per_053b1f89a8105d269a4f1dead3416f0d,Katie Andrachuk,active,,2026-08-21
per_0551e61933835487ad593ca1a6280e30,Suzan Hall,active,,2026-08-20
per_05786eab7e54522d9e4f308b334fad3b,Peter Harris,active,,2026-08-20
per_0584b6d3aa7852c0918ccaacc282ba94,David Sparrow,active,,2026-08-20
per_0586fbb3d08f5a37a16adb772b5c4b07,GARY ELLIS,active,,2026-08-20
per_0587b60f53bb5635a5405e3c7cf013de,Angus Mackenzie,active,,2026-08-20
per_058e0c8e32ee52dfbc9fc41de615c1a0,Silvia Stardust,active,,2026-08-20
per_059016fd5e645bfeb992916ad1f46a38,Francis Russell,active,,2026-08-20
per_059236b14f935cebbe8bbea4dbc58428,Jonathan Fon,active,,2026-08-20
per_059340c35643574ea5a9c341d4f1a0da,John Huculiak,active,,2026-08-20
per_059f4b37e05e5fdda95ed41c037720e9,JOSEPH CARVALHO,active,,2026-08-20
per_05a298d083e3551cac50ae04a33002c9,Michael Carey,active,,2026-08-20
per_05ce6d03856557819528f457a5983a8a,Chinh Huynh,active,,2026-08-20
per_05dba9a6c82a59a79e554e8893297d22,Paul Viret,active,,2026-08-21
per_05e2054361085d8f860959a1f93c9d70,Syeda Jaana Ali,active,,2026-08-21
per_05f5cadcb1b1529bb508fc8e792332b2,Daniela Acerra,active,,2026-08-20
per_0603132f148852a9a6aa5fd0478f7504,Thomas Guillot,active,,2026-08-20
per_061206864b3e5789b6478afe420c3ec2,Paul Cookson,active,,2026-08-20
per_06256a03f1a9571bbbe17258b6620593,Yan Chen,active,,2026-08-20
per_0632a538133f59c984e22c57ce0e2e08,GUNES AGDUK,active,,2026-08-20
per_0639476dcdc55c90a45237e8456f8d35,Tasleem Riaz,active,,2026-08-20
per_063c63f855e753af928494716833e1d5,Bob Nahiddi,active,,2026-08-20
per_0649ecb7cb135ca7aee48b5b74b79fb3,Tony Letra,active,,2026-08-20
per_064e8dad1c7c57dcbebff3441903cf8f,NAOMI POLEY-FISHER,active,,2026-08-20
per_066d9cb862d35615a15e27aeeffd73ca,DONALD MCMULLEN,active,,2026-08-20
