candidacy_id,source_occurrence_id,identity_basis,event_id,contest_id,represented_body,office_type,boundary_regime,official_district_id,candidate_name_raw,source_authority,source_resource,source_detail,valid_from_release,valid_to_release,change_reason
can_483f7f989f2f5470a4a333263a437198,project-ledger:occ_fc86f203e7b95695acba847ed35e1325,project_ordinal_at_registration,on-2003-general,con_00412a167b445daa9595d0d4ce3fde91,ontario_legislative_assembly,mpp,ontario-1999-103,097,SHAROLYN VETTESE,Elections Ontario,Official election results reports,https://results.elections.on.ca/api/report-groups/5/report-outputs/521/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/514/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/519/csv,2026-08-20,,initial_registration
can_84f9288a04e95fc2a5594eacd318cbc8,project-ledger:occ_d6a88a5710a85379bbd581029c20aa56,project_ordinal_at_registration,on-2003-general,con_00412a167b445daa9595d0d4ce3fde91,ontario_legislative_assembly,mpp,ontario-1999-103,097,YVONNE BOBB,Elections Ontario,Official election results reports,https://results.elections.on.ca/api/report-groups/5/report-outputs/521/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/514/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/519/csv,2026-08-20,,initial_registration
can_95b454b2a7a5550aa336de55731b02a2,project-ledger:occ_1b8c74d5389253a6b5ef32bb5209f1c3,project_ordinal_at_registration,on-2003-general,con_00412a167b445daa9595d0d4ce3fde91,ontario_legislative_assembly,mpp,ontario-1999-103,097,DAVID ZIMMER,Elections Ontario,Official election results reports,https://results.elections.on.ca/api/report-groups/5/report-outputs/521/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/514/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/519/csv,2026-08-20,,initial_registration
can_9df497616a6454e188c28846c5fb0c57,project-ledger:occ_9752916248ba56138f684e239b19624d,project_ordinal_at_registration,on-2003-general,con_00412a167b445daa9595d0d4ce3fde91,ontario_legislative_assembly,mpp,ontario-1999-103,097,VAUGHAN BYRNES,Elections Ontario,Official election results reports,https://results.elections.on.ca/api/report-groups/5/report-outputs/521/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/514/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/519/csv,2026-08-20,,initial_registration
can_ad5ae4adb5e8505d8823741a38bcea47,project-ledger:occ_df9b18ab545c5cd681047845ea831359,project_ordinal_at_registration,on-2003-general,con_00412a167b445daa9595d0d4ce3fde91,ontario_legislative_assembly,mpp,ontario-1999-103,097,RINA MORRA,Elections Ontario,Official election results reports,https://results.elections.on.ca/api/report-groups/5/report-outputs/521/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/514/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/519/csv,2026-08-20,,initial_registration
can_b720d3a86e9652099b9ba52619385c5a,project-ledger:occ_c66cbcc9928b5de395085a3589cfa2d1,project_ordinal_at_registration,on-2003-general,con_00412a167b445daa9595d0d4ce3fde91,ontario_legislative_assembly,mpp,ontario-1999-103,097,DAVID YOUNG,Elections Ontario,Official election results reports,https://results.elections.on.ca/api/report-groups/5/report-outputs/521/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/514/csv;https://results.elections.on.ca/api/report-groups/5/report-outputs/519/csv,2026-08-20,,initial_registration
can_0d689206aa8d5d60b6378d922eebf6ee,project-ledger:occ_01538f015c4552cfb482a8796ec78ddc,project_ordinal_at_registration,evt_54673fd104ab5ef08eb865e162ac040c,con_004711e5bbda5d169a7774d906befd21,toronto_city_council,councillor,toronto_council_44_wards,ward-9,FERNANDO ANTHONY,Toronto City Clerk,Elections — Official Results,data/interim/results/2014/COUNCILLOR.xls,2026-08-20,,initial_registration
can_4ada97541b6c547ca17e6e9983ae4c30,project-ledger:occ_d292945b04c55a4dbee559bd9c3eb6b2,project_ordinal_at_registration,evt_54673fd104ab5ef08eb865e162ac040c,con_004711e5bbda5d169a7774d906befd21,toronto_city_council,councillor,toronto_council_44_wards,ward-9,AUGIMERI MARIA,Toronto City Clerk,Elections — Official Results,data/interim/results/2014/COUNCILLOR.xls,2026-08-20,,initial_registration
can_76d70693e14b5de3ad9c4eea684f015b,project-ledger:occ_2eb409f892b954f7bce97c66d1bd7d38,project_ordinal_at_registration,evt_54673fd104ab5ef08eb865e162ac040c,con_004711e5bbda5d169a7774d906befd21,toronto_city_council,councillor,toronto_council_44_wards,ward-9,BASANTES WILSON,Toronto City Clerk,Elections — Official Results,data/interim/results/2014/COUNCILLOR.xls,2026-08-20,,initial_registration
can_99003a4aad175d408aa0e6e832a33e9f,project-ledger:occ_2b26adc6d67c5450aa4f33425a7f263e,project_ordinal_at_registration,evt_54673fd104ab5ef08eb865e162ac040c,con_004711e5bbda5d169a7774d906befd21,toronto_city_council,councillor,toronto_council_44_wards,ward-9,CUSIMANO GUS,Toronto City Clerk,Elections — Official Results,data/interim/results/2014/COUNCILLOR.xls,2026-08-20,,initial_registration
can_a978ec41914d5a878842fcf686e33100,project-ledger:occ_faf8c6da90a25a8f9d600c4a12936649,project_ordinal_at_registration,evt_54673fd104ab5ef08eb865e162ac040c,con_004711e5bbda5d169a7774d906befd21,toronto_city_council,councillor,toronto_council_44_wards,ward-9,HERCULES ANCES,Toronto City Clerk,Elections — Official Results,data/interim/results/2014/COUNCILLOR.xls,2026-08-20,,initial_registration
can_db2f264725075bbc86844145553942b9,project-ledger:occ_d78386457b9854558e55fa2f7798a2e7,project_ordinal_at_registration,evt_54673fd104ab5ef08eb865e162ac040c,con_004711e5bbda5d169a7774d906befd21,toronto_city_council,councillor,toronto_council_44_wards,ward-9,QUATTROCIOCCHI DANNY,Toronto City Clerk,Elections — Official Results,data/interim/results/2014/COUNCILLOR.xls,2026-08-20,,initial_registration
can_08429fd737df56b39ecfbf80b11ec95d,project-ledger:occ_49a4b7a032345f66aead088c809f8a60,project_ordinal_at_registration,evt_a52ef78967f05336bdb5d591fd50f122,con_013049b8faee59008803ab4dfa4884fe,toronto_district_school_board,trustee,tdsb-trustee-wards-2022,8,Laskin Shelley,Toronto City Clerk,Elections — Official Results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip :: 2022_Toronto_Poll_By_Poll_Toronto_District_School_Board.xlsx,2026-08-20,,initial_registration
can_2a5a5ebe82745411ae226a12a4c4f811,project-ledger:occ_f46237cb74955452b6d147b830217c4f,project_ordinal_at_registration,evt_a52ef78967f05336bdb5d591fd50f122,con_013049b8faee59008803ab4dfa4884fe,toronto_district_school_board,trustee,tdsb-trustee-wards-2022,8,Kirsh Samantha,Toronto City Clerk,Elections — Official Results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip :: 2022_Toronto_Poll_By_Poll_Toronto_District_School_Board.xlsx,2026-08-20,,initial_registration
can_38ea21a9a8f35e8d96dd06a266774b2d,project-ledger:occ_b3284fbbce735ed8ac93c19199d931e5,project_ordinal_at_registration,evt_a52ef78967f05336bdb5d591fd50f122,con_013049b8faee59008803ab4dfa4884fe,toronto_district_school_board,trustee,tdsb-trustee-wards-2022,8,Venugopal Neel,Toronto City Clerk,Elections — Official Results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip :: 2022_Toronto_Poll_By_Poll_Toronto_District_School_Board.xlsx,2026-08-20,,initial_registration
can_68b313b784ef5e5a960c7e84f1e307ea,project-ledger:occ_38fb2c70aec95b639bba8b45c88ec107,project_ordinal_at_registration,evt_a52ef78967f05336bdb5d591fd50f122,con_013049b8faee59008803ab4dfa4884fe,toronto_district_school_board,trustee,tdsb-trustee-wards-2022,8,Lee Dewitt,Toronto City Clerk,Elections — Official Results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip :: 2022_Toronto_Poll_By_Poll_Toronto_District_School_Board.xlsx,2026-08-20,,initial_registration
can_71c92ec6583b502bbc0787997123ed16,project-ledger:occ_b56c2b12b9e85fd3992b76628ca74a66,project_ordinal_at_registration,evt_a52ef78967f05336bdb5d591fd50f122,con_013049b8faee59008803ab4dfa4884fe,toronto_district_school_board,trustee,tdsb-trustee-wards-2022,8,Herelle Cornelius,Toronto City Clerk,Elections — Official Results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip :: 2022_Toronto_Poll_By_Poll_Toronto_District_School_Board.xlsx,2026-08-20,,initial_registration
can_ecb9c751999855838847c6ea154a5f85,project-ledger:occ_eb146a5ed7b656359f02fcb2b371a3af,project_ordinal_at_registration,evt_a52ef78967f05336bdb5d591fd50f122,con_013049b8faee59008803ab4dfa4884fe,toronto_district_school_board,trustee,tdsb-trustee-wards-2022,8,Vassal John,Toronto City Clerk,Elections — Official Results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip :: 2022_Toronto_Poll_By_Poll_Toronto_District_School_Board.xlsx,2026-08-20,,initial_registration
can_f8f40b19387559fcb6b6341b2c596499,project-ledger:occ_e0e050de778950f48d1681823abdfbe8,project_ordinal_at_registration,evt_a52ef78967f05336bdb5d591fd50f122,con_013049b8faee59008803ab4dfa4884fe,toronto_district_school_board,trustee,tdsb-trustee-wards-2022,8,Kwan Natalie,Toronto City Clerk,Elections — Official Results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip :: 2022_Toronto_Poll_By_Poll_Toronto_District_School_Board.xlsx,2026-08-20,,initial_registration
can_c79f7bcce6075dce9c91c048aa31cb5b,project-ledger:occ_f11aa7d0cbca51b7b8c981d639399129,project_ordinal_at_registration,evt_d89f777f34365c37b114ca39fb376591,con_0147555121d7598fa20356326a150cf2,toronto_district_school_board,trustee,tdsb-trustee-wards-2003,16,"Cary-Meagher, Sheila",Toronto City Clerk,Elections — Official Results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip :: 2003_Toronto_Poll_by_Poll_Toronto_District_School_Board.xls,2026-08-20,,initial_registration
can_eba17acec9f75900bc19a0a1aa8e023e,project-ledger:occ_5342ad457527543aa9b20650a7b92fb2,project_ordinal_at_registration,evt_d89f777f34365c37b114ca39fb376591,con_0147555121d7598fa20356326a150cf2,toronto_district_school_board,trustee,tdsb-trustee-wards-2003,16,"Cotnam, Jackie",Toronto City Clerk,Elections — Official Results,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip :: 2003_Toronto_Poll_by_Poll_Toronto_District_School_Board.xls,2026-08-20,,initial_registration
