curation_key,endorser_key,expected_event_id,election_date,office_type,official_district_id,coverage_state,assessed_through,coverage_basis,evidence_url,verification_report_path,search_certificate_path
miller_2006_council_limited_search,david_miller,evt_159f073fa6f15c23a840651723d3c3af,2006-11-13,councillor,,partially_searched,2026-08-22,audited limited historical search; no complete slate source recovered,https://philippinereporter.com/?p=3703,docs/research/endorsement-coverage-terra-verification-wave1.md,docs/research/endorsement-coverage-terra-mayors-2003-2025.md
miller_2010_council_limited_search,david_miller,evt_5a786c1da7ec5e758036205f04351fc5,2010-10-25,councillor,,partially_searched,2026-08-22,audited limited historical search; no complete slate source recovered,https://spacing.ca/toronto/2010/10/19/election-council-turnover-ward-18/,docs/research/endorsement-coverage-terra-verification-wave1.md,docs/research/endorsement-coverage-terra-mayors-2003-2025.md
star_2003_council_bounded_search,toronto_star_editorial_board,evt_d89f777f34365c37b114ca39fb376591,2003-11-10,councillor,,comprehensive_source_found,2026-08-28,"Authenticated two-page Star package accounts for all 44 wards: 40 positive choices, two explicit no-choice wards, and two acclamations.",https://www.proquest.com/docview/438650442,docs/research/endorsement-census-terra-authenticated-verification-2003-2018.md,docs/research/endorsement-census-star-utoronto-proquest-evidence-2026-08-28.md
sun_2003_mayor_bounded_search,toronto_sun_editorial_board,evt_d89f777f34365c37b114ca39fb376591,2003-11-10,mayor,,partially_searched,2026-08-22,Bounded publisher/index search logged; no importable positive recovered.,https://torontosun.com/,docs/research/endorsement-coverage-terra-verification-editorial.md,docs/research/endorsement-coverage-luna-editorial-2003-2025.md
sun_2003_council_bounded_search,toronto_sun_editorial_board,evt_d89f777f34365c37b114ca39fb376591,2003-11-10,councillor,,partially_searched,2026-08-22,Bounded publisher/index search logged; no importable positive recovered.,https://torontosun.com/,docs/research/endorsement-coverage-terra-verification-editorial.md,docs/research/endorsement-coverage-luna-editorial-2003-2025.md
star_2006_mayor_bounded_search,toronto_star_editorial_board,evt_159f073fa6f15c23a840651723d3c3af,2006-11-13,mayor,,comprehensive_source_found,2026-08-28,Authenticated Star editorial gives qualified support to David Miller in the single mayoral contest.,https://www.proquest.com/docview/439100508,docs/research/endorsement-census-terra-authenticated-verification-2003-2018.md,docs/research/endorsement-census-star-utoronto-proquest-evidence-2026-08-28.md
sun_2006_mayor_bounded_search,toronto_sun_editorial_board,evt_159f073fa6f15c23a840651723d3c3af,2006-11-13,mayor,,partially_searched,2026-08-22,Bounded publisher/index search logged; no importable positive recovered.,https://torontosun.com/,docs/research/endorsement-coverage-terra-verification-editorial.md,docs/research/endorsement-coverage-luna-editorial-2003-2025.md
sun_2006_council_bounded_search,toronto_sun_editorial_board,evt_159f073fa6f15c23a840651723d3c3af,2006-11-13,councillor,,partially_searched,2026-08-22,Bounded publisher/index search logged; no importable positive recovered.,https://torontosun.com/,docs/research/endorsement-coverage-terra-verification-editorial.md,docs/research/endorsement-coverage-luna-editorial-2003-2025.md
sun_2010_council_bounded_search,toronto_sun_editorial_board,evt_5a786c1da7ec5e758036205f04351fc5,2010-10-25,councillor,,partially_searched,2026-08-22,Bounded publisher/archive search logged; no importable positive recovered.,https://torontosun.com/,docs/research/endorsement-coverage-terra-verification-editorial.md,docs/research/endorsement-coverage-luna-editorial-2003-2025.md
star_2014_mayor_bounded_search,toronto_star_editorial_board,evt_54673fd104ab5ef08eb865e162ac040c,2014-10-27,mayor,,partially_searched,2026-08-22,Bounded publisher/index search logged; no importable positive recovered.,https://www.thestar.com/,docs/research/endorsement-coverage-terra-verification-editorial.md,docs/research/endorsement-coverage-luna-editorial-2003-2025.md
sun_2014_council_bounded_search,toronto_sun_editorial_board,evt_54673fd104ab5ef08eb865e162ac040c,2014-10-27,councillor,,partially_searched,2026-08-22,Bounded publisher/archive search logged; no importable positive recovered.,https://torontosun.com/,docs/research/endorsement-coverage-terra-verification-editorial.md,docs/research/endorsement-coverage-luna-editorial-2003-2025.md
