candidacy_id,target_person_id,decision,confidence,rationale,evidence_urls,reviewer
can_00828ccb087a59149781207e029ea8e4,per_c973b173a3fa5ae582459fed268c3292,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-0
can_016962ee55d05e4197fca97b6819fe03,per_36aa092b9eb3598fa088b3e9e7f7db0f,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://results.elections.on.ca/api/report-groups/1/report-outputs/932/csv;https://results.elections.on.ca/api/report-groups/1/report-outputs/925/csv;https://results.elections.on.ca/api/report-groups/1/report-outputs/930/csv,independent-adjudication-bucket-1
can_0178af043dd25e088fcb3547bd6ce0b9,per_bf8eacb276f45a64a9882d56e70154a5,confirmed,high,Official results show the same candidate in the same toronto_district_school_board trustee district (Ward 14) as the confirmed 2018 occurrence; party/affiliation continuity is consistent and no same-event/name collision was found.,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip;https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/2fcd5f20-90f5-4dd0-88eb-22e978b9bf89/download/2018-results.zip,independent-adjudication-bucket-1
can_0215b89339175bcbb73da91d4323f719,per_2770f48bced55f709680faa319f2868e,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://www.elections.ca/res/rep/off/ovr2019app/51/data_donnees/pollresults_resultatsbureau35.zip,independent-adjudication-bucket-1
can_024a723e9f3c5ef0b7791ea7cff2dfa1,per_546a50310fbe5401a126a3864d97fbb3,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-0
can_026f65d875bd5249903327349def3cf7,per_67fc59512d505e36bf04935cd5245190,unresolved,low,"The proposed occurrence is supported by an official results record, but the target's confirmed history is in a different body/office context; exact name alone is insufficient for this identity bridge.",https://www.elections.ca/scripts/OVR2004/23/data/ON.zip;https://www.elections.ca/scripts/OVR2004/23/data/table12.csv,independent-adjudication-bucket-1
can_02ca424e910f5b1f89a5f5e802577006,per_38dd1bb0840f5a8f8d37a5a33301ee69,unresolved,medium,"The target has a same-body/same-office result with the same name, but the district differs from this occurrence; results alone cannot establish identity across a changed district, so the proposal is held.",https://results.elections.on.ca/api/report-groups/48/report-outputs/1096/csv;https://results.elections.on.ca/api/report-groups/48/report-outputs/1089/csv;https://results.elections.on.ca/api/report-groups/48/report-outputs/1094/csv,independent-adjudication-bucket-1
can_02d534be2a115522bb7c2ffd48769701,per_546a50310fbe5401a126a3864d97fbb3,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-0
can_02e12b4f510054768aaf731a7250630d,per_5542c2a9da75521a8c92b062a2f48b33,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.toronto.ca/city-government/elections/,independent-adjudication-bucket-0
can_035ba3c47a1c5ee0a5865fde06721a2e,per_66eb4d79e82255939ee52ad86a1e1534,unresolved,low,"Official result occurrence is recorded, but no qualifying same-body/office bridge with matching displayed district and party/affiliation was found; exact name alone is insufficient. No same-event/name collision found.",https://www.elections.ca/content.aspx?section=res&dir=rep/off/,independent-adjudication-bucket-0
