cohort_id,subject_candidacy_id,certified_name,certified_name_raw,current_person_id,event_id,contest_id,source_release,source_commit
toronto-mayor-2026,can_02f4555121c15b8abb384f5b2c886b56,Lyall Sanders,"Sanders, Lyall",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_097745cc355459f6b63ecd505094cd64,Brian Buffey,"Buffey, Brian",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_1e9223164ae85589a40d5c27b1004c93,Jamie Atkinson,"Atkinson, Jamie",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_24054bba2bed56dab41293ec7d138d41,Olivia Chow,"Chow, Olivia",per_a4291ca7539b53e2acc1c4f108bc73e6,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_28879fdf67165467a81c42c6446b5cd3,Reagan Levermany,"Levermany, Reagan",per_df6f6d041e1e5af69026e62bd466dc61,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_2e019fda2c64561e8b92b2c905a2585e,Bahira Abdulsalam,"Abdulsalam, Bahira",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_30299920681c5c8096c4bef93afac059,Michael Lamoureux,"Lamoureux, Michael",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_34ef58fec10453ec87a52c54391d0076,Kevin Clarke,"Clarke, Kevin",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_35cd7fdef9185f108c07669c0c02a3f4,Paul Collins,"Collins, Paul",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_362007245309529aae22fb4337f1262e,Faizan Haider,"Haider, Faizan",per_9f8b0af56ed95379ac598bccf437dd89,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_390615a47c3851bea46fa40dcfa540c0,Wincess Dorville,"Dorville, Wincess",per_73f81f86fbf957b6be760800c99853cc,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_3a1a6b619cf050e690cb6578dee57012,Rick Lee,"Lee, Rick",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_4da98e5abddc51ceb2a0eca7fc79c228,Odessa Paloma Parker,"Parker, Odessa Paloma",per_56060d2725565733b8f3a78855fc0c25,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_501a2363de0b5db0afdbb7ea9087df9a,Weizhen Tang,"Tang, Weizhen",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_52f3f65dbd5a5867b98898a8500161d5,Edward Gong,"Gong, Edward",per_424fd6af33ed5e0bae4177a42cde6c21,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_5921308ec09156fb9428cf16c4ccb415,Sandeep Srivastava,"Srivastava, Sandeep",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_59eec357859b52a9a96e7dc149a071cd,Heather He,"He, Heather",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_5cfd62de1fc35b858be03962fb88f01a,Braeden Chow,"Chow, Braeden",per_84fc7c7d2a4f55a7a99126fbe8a7dfdf,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_5dc03ec1bf9550ac94e5bbfe7966978f,Jack Hartley,"Hartley, Jack",per_99915647a3e7513a95eb72aab24c8a69,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_6091cf8156f452e99906f835b4ab0eb5,Jack Weenen,"Weenen, Jack",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_627d3742fe25534cb96e3e6cee6388c8,Naomi Sayers,"Sayers, Naomi",per_75e08922e6a85f35bf2ca1f2c5d3a194,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_665e34a2e1bd53efab17596e5ab65b9d,Laura Ellis,"Ellis, Laura",per_aa60ea68aa015500b5b0546b0837ce2a,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_725c2f7ae1e052caa5db6c997d6e1949,Robert Shusterman,"Shusterman, Robert",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_78d2d90590f25246a4c4059b5f3a5736,Darrell Brown,"Brown, Darrell",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_8560c3a40a9e572aa2d5c00c09933b85,Eddie Mayanja,"Mayanja, Eddie",per_ef81e3a7e765571d81251c1904f93a18,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_86878b8fd0dc57479f5522bfc8a7c948,Peter Handjis,"Handjis, Peter",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_8a1f2fdbcf8a596f87ed81adafa3eeca,Gus Prokos,"Prokos, Gus",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_90169e7ffaf85a4e960346e2c761b66d,Mohamad Kaaki,"Kaaki, Mohamad",per_3458e4496919507bb710f0727449b78a,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_94360a20cd655445812073e2b15fd7cb,Cory Deville,"Deville, Cory",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_94979378bca450f09d9c25e74db7807e,Imad Abdulkadir,"Abdulkadir, Imad",per_c2a43d1124c7560ab08e6c31dc8da9ee,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_9f90d447ddbe5c97bbdac9c3096089fb,Francis Mercieca,"Mercieca, Francis",per_99ee11f9eaf95b5b8154b23de4970dc2,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_a169bac534c9535f8b40909b8e3f19c3,Martin Fraser,"Fraser, Martin",per_b81f3e402324549882cef8492a4e0745,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_add6b13c697e571b946a9f304c46723b,Logan Choy,"Choy, Logan",,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_b0feb9eb4d795071bc35ae1040f07db6,Laura Dean,"Dean, Laura",per_2ecb615c8e5158e8a2530743ad2e30e5,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_b43d9b5795cf5aed9b587a956e49951b,Chris Alexander,"Alexander, Chris",per_345dd6a9ee645c0bb5a8ade615f91579,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_b6d6bb5130b458ccba39311d9df774f8,Henoke Yohannes,"Yohannes, Henoke",per_fd539a88bad85a4facc5b6f893812943,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_b71a736235545b8f8df2a3e196126428,Brad Bradford,"Bradford, Brad",per_d8dfddfb642358e299f4b428292666bf,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_bc5a823575885135bd3bd49999e4bcc5,Sarah McVie,"McVie, Sarah",per_95cd5c92c035574ab823643b45e8a5ae,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_bd7a432d37f95590b5e5985444edefa1,Alex Cruze,"Cruze, Alex",per_1b9b9e8787a65865bd53e6d237925fa2,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_c046dcbb9b5e5acea6b996edbc473dc2,Alton Frederick,"Frederick, Alton",per_3a31776c012253df85dd35d7e0aef86e,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
toronto-mayor-2026,can_c4c8d5930213597eafa645ae61af7e4e,Faisal Razi,"Razi, Faisal",per_ec5f622a33165dd5b165983d27fc0023,evt_27c3a2e636a457f1b1f922774525b74a,con_f97200e8b8345e4b844e990437f0b077,results-2026-08-26.1,cfc5e8c946486e83745c27d92600d6227997a687
