2000-2003 | 1 | Suzan Hall | elected
2000-2003 | 2 | Rob Ford | elected
2000-2003 | 3 | Doug Holyday | elected
2000-2003 | 4 | Gloria Lindsay Luby | elected
2000-2003 | 5 | Peter Milczyn | elected
2000-2003 | 6 | Irene Jones | elected
2000-2003 | 7 | Giorgio Mammoliti | elected
2000-2003 | 8 | Peter Li Preti | elected
2000-2003 | 9 | Maria Augimeri | elected
2000-2003 | 10 | Mike Feldman | elected
2000-2003 | 11 | Frances Nunziata | elected
2000-2003 | 12 | Frank Di Giorgio | elected
2000-2003 | 13 | David Miller | elected
2000-2003 | 14 | Chris Korwin-Kuczynski | elected
2000-2003 | 15 | Howard Moscoe | elected
2000-2003 | 16 | Anne Johnston | elected
2000-2003 | 17 | Betty Disero | elected
2000-2003 | 18 | Mario Silva | elected
2000-2003 | 19 | Joe Pantalone | elected
2000-2003 | 20 | Olivia Chow | elected
2000-2003 | 21 | Joe Mihevc | elected
2000-2003 | 22 | Michael Walker | elected
2000-2003 | 23 | John Filion | elected
2000-2003 | 24 | David Shiner | elected
2000-2003 | 25 | Joanne Flint | elected
2000-2003 | 26 | Jane Pitfield | elected
2000-2003 | 27 | Kyle Rae | elected
2000-2003 | 28 | Pam McConnell | elected
2000-2003 | 29 | Case Ootes | elected
2000-2003 | 30 | Laura Jones | appointed
2000-2003 | 31 | Michael Tziretas | by-election
2000-2003 | 32 | Sandra Bussin | elected
2000-2003 | 33 | Paul Sutherland | elected
2000-2003 | 34 | Denzil Minnan-Wong | elected
2000-2003 | 35 | Gerry Altobello | elected
2000-2003 | 36 | Brian Ashton | elected
2000-2003 | 37 | Lorenzo Berardinetti | elected
2000-2003 | 38 | Brad Duguid | elected
2000-2003 | 39 | Sherene Shaw | elected
2000-2003 | 40 | Norm Kelly | elected
2000-2003 | 41 | Bas Balkissoon | elected
2000-2003 | 42 | Raymond Cho | elected
2000-2003 | 43 | David Soknacki | elected
2000-2003 | 44 | Ron Moeser | elected
2000-2003 | mayor | Mel Lastman | elected
2003-2006 | 1 | Suzan Hall | elected
2003-2006 | 2 | Rob Ford | elected
2003-2006 | 3 | Doug Holyday | elected
2003-2006 | 4 | Gloria Lindsay Luby | elected
2003-2006 | 5 | Peter Milczyn | elected
2003-2006 | 6 | Mark Grimes | elected
2003-2006 | 7 | Giorgio Mammoliti | elected
2003-2006 | 8 | Peter Li Preti | elected
2003-2006 | 9 | Maria Augimeri | elected
2003-2006 | 10 | Mike Feldman | elected
2003-2006 | 11 | Frances Nunziata | elected
2003-2006 | 12 | Frank Di Giorgio | elected
2003-2006 | 13 | Bill Saundercook | elected
2003-2006 | 14 | Sylvia Watson | elected
2003-2006 | 15 | Howard Moscoe | elected
2003-2006 | 16 | Karen Stintz | elected
2003-2006 | 17 | Cesar Palacio | elected
2003-2006 | 18 | Adam Giambrone | elected
2003-2006 | 19 | Joe Pantalone | elected
2003-2006 | 20 | Martin Silva | appointed
2003-2006 | 21 | Joe Mihevc | elected
2003-2006 | 22 | Michael Walker | elected
2003-2006 | 23 | John Filion | elected
2003-2006 | 24 | David Shiner | elected
2003-2006 | 25 | Cliff Jenkins | elected
2003-2006 | 26 | Jane Pitfield | elected
2003-2006 | 27 | Kyle Rae | elected
2003-2006 | 28 | Pam McConnell | elected
2003-2006 | 29 | Case Ootes | elected
2003-2006 | 30 | Paula Fletcher | elected
2003-2006 | 31 | Janet Davis | elected
2003-2006 | 32 | Sandra Bussin | elected
2003-2006 | 33 | Shelley Carroll | elected
2003-2006 | 34 | Denzil Minnan-Wong | elected
2003-2006 | 35 | Gerry Altobello | elected
2003-2006 | 36 | Brian Ashton | elected
2003-2006 | 37 | Michael Thompson | elected
2003-2006 | 38 | Glenn De Baeremaeker | elected
2003-2006 | 39 | Mike Del Grande | elected
2003-2006 | 40 | Norm Kelly | elected
2003-2006 | 41 | Paul Ainslie | appointed
2003-2006 | 42 | Raymond Cho | elected
2003-2006 | 43 | David Soknacki | elected
2003-2006 | 44 | Gay Cowbourne | elected
2003-2006 | mayor | David Miller | elected
