cohort_id,subject_candidacy_id,certified_name,certified_name_raw,represented_body,official_district_id,contest_id,source_order,current_person_id,proposed_target_person_id,source_release,source_commit
toronto-trustee-2026,can_4b90bb3f92415cbeacd9c49294844657,Rosina Bonavota,"Bonavota, Rosina",toronto_catholic_district_school_board,9,con_7811050ce6365846b10a6be7c749edf4,1,,per_aa7e1fc3732f5f7ca827abe93a68e2e8,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_62de67b8b5ec5d119f07221a40f6132a,Renato Fallico,"Fallico, Renato",toronto_catholic_district_school_board,9,con_7811050ce6365846b10a6be7c749edf4,2,,per_8e182aa5c0625a308f07eb6a122f4226,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_3aa1d130e8f3503c941983d9258b7fb9,David Le,"Le, David",toronto_catholic_district_school_board,9,con_7811050ce6365846b10a6be7c749edf4,3,per_20c03379c8e55a0d9f0896b492aeabe4,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_fe42206a6fe95bdeb68178b4e8826d73,Jonathan Santos,"Santos, Jonathan",toronto_catholic_district_school_board,9,con_7811050ce6365846b10a6be7c749edf4,4,per_d4fd43c85f57536d8660289229689293,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_1161ca93a4615c7698106e70b18a5d53,Dedan Deus,"Deus, Dedan",toronto_district_school_board,11,con_c477c629359857d4873498d9b38fb38a,1,per_5e54b43896845a13823ece555800b50f,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_7aab9acba89353a7a68beeb8345c4884,Angus Grant,"Grant, Angus",toronto_district_school_board,11,con_c477c629359857d4873498d9b38fb38a,2,,per_9be481d16da951399d3357426e59108e,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_d4c1bd7d367e520b8bbc362ec0f3fc2c,Dameon Halstead,"Halstead, Dameon",toronto_district_school_board,11,con_c477c629359857d4873498d9b38fb38a,3,,per_7fef31f072b75e6198e266831288770f,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_bb43967e9b9856a8a1afd8e3e33a0aab,Curtis Jack,"Jack, Curtis",toronto_district_school_board,11,con_c477c629359857d4873498d9b38fb38a,4,per_b0f8c851c92c556b819e6d4041e70f89,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_c653fe3a72c05a0caeb56eee3eb8fd12,Abdul Azeem Mohammed,"Mohammed, Abdul Azeem",toronto_district_school_board,11,con_c477c629359857d4873498d9b38fb38a,5,per_cd708cc70d2157b489bebcd8d795de01,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_4eae390042ec54b1ac198df07635ab16,Ravicha Ravinthiran,"Ravinthiran, Ravicha",toronto_district_school_board,11,con_c477c629359857d4873498d9b38fb38a,6,per_d2a670d7a1285943a20b7ad9e866f278,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_980559d390bb5a989f597daa3a932014,Stacey Cline,"Cline, Stacey",toronto_district_school_board,6,con_4cf4fb2e9f325676a6c636b56a0ad1d3,1,,per_1746d5ad37245cee960b86ef19a17377,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_caef49e28ab35c5fb3a3711fd31a5bbe,Saherla Osman,"Osman, Saherla",toronto_district_school_board,6,con_4cf4fb2e9f325676a6c636b56a0ad1d3,2,per_769ae064e1ca5bbca67965da0560c048,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_b6cae47cada7527bbcbba6257c5ae67e,Sarah Smithies,"Smithies, Sarah",toronto_district_school_board,6,con_4cf4fb2e9f325676a6c636b56a0ad1d3,3,per_311f804e0080520a9dce6ab5ccff78a4,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_b224bbdcb6f75bf9ab2e818f00be2435,John Vassal,"Vassal, John",toronto_district_school_board,6,con_4cf4fb2e9f325676a6c636b56a0ad1d3,4,,per_4b96f894a15d5a12b2949bbfa78433bc,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_7a668b3b98d35daa915ae28fc4204ae2,Malik Ahmad,"Ahmad, Malik",toronto_district_school_board,10,con_e8e6907389e75a47b3b8b8a266333e3c,1,,per_1857a6857e5f556ab0c0424377838d56,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_3fd9bf5aab3652fc8710e2fb9b72e168,Azim Dewan,"Dewan, Azim",toronto_district_school_board,10,con_e8e6907389e75a47b3b8b8a266333e3c,2,,per_a49a5824fde558a19efca29a6bf747af,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_8076abf4a10552f8bb04fa484ec74c3d,Karen Emerson,"Emerson, Karen",toronto_district_school_board,10,con_e8e6907389e75a47b3b8b8a266333e3c,3,per_6cc973f9489458b4880cfb3a86e143ec,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_2c8f5a36cc6057549899360a49a4182a,Ahnaaf Hassan,"Hassan, Ahnaaf",toronto_district_school_board,10,con_e8e6907389e75a47b3b8b8a266333e3c,4,per_5749a32fa0a05498aa34ae5071f37f1c,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_f522f78a24de5f9195043e5091a4906e,Md Sazibul Islam,"Islam, Md Sazibul",toronto_district_school_board,10,con_e8e6907389e75a47b3b8b8a266333e3c,5,per_e2207d758b4b5d44bfd82a9b7c6397a2,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_860f8fe35a785ef1b8adc09927d517da,Glenn Kremp,"Kremp, Glenn",toronto_district_school_board,10,con_e8e6907389e75a47b3b8b8a266333e3c,6,per_9bab7131b4ce5537801259275f1ffdc5,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_f45567e7c92656f88222bb24d854e9a9,Shawn Li,"Li, Shawn",toronto_district_school_board,10,con_e8e6907389e75a47b3b8b8a266333e3c,7,per_88e4fbe8e92f55329b7b2f5b1d978e42,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_990783c8b1b75211892caa7a4326511e,Jocelyne Poirier,"Poirier, Jocelyne",toronto_district_school_board,10,con_e8e6907389e75a47b3b8b8a266333e3c,8,,per_edd58e4e22355977bd105fb2f87c6a8b,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_5f7f158aef535d02960dc4c058b3359a,Marisa Sterling,"Sterling, Marisa",toronto_district_school_board,10,con_e8e6907389e75a47b3b8b8a266333e3c,9,,per_36fcd7fdf6dd587da7acd52b0ef8ab1e,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_0bec302f9a5656f68d9317faf79bd81c,Frank D'Amico,"DAmico, Frank",toronto_catholic_district_school_board,6,con_5867c4d3f601513d8883161356f89d3e,1,,per_d13ae27b3d3b571b9bf970fa5e654377,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_be841f8d506757cfb0c1b93dd102e85f,Geneviève Oger,"Oger, Genevieve",conseil_scolaire_viamonde,4,con_c818d267cd4f567aa8ce58cd5a7046e4,1,,per_6565a5b11fc255299b2d7ddd744ad643,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_dd2201161043523fa07a932b7990349a,Sara Concordia,"Concordia, Sara",toronto_catholic_district_school_board,2,con_90c8db1738d658b08389a208de904a13,1,per_c13ac5915f01555b82e9e978d415e719,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_b9b5b55f5f265132afd62fd721c56705,Markus de Domenico,"de Domenico, Markus",toronto_catholic_district_school_board,2,con_90c8db1738d658b08389a208de904a13,2,,per_708b2db06a7a5192842e697cc167a88b,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_c43ef763892b58168e61705d887e1c97,Ida Li Preti,"Li Preti, Ida",toronto_catholic_district_school_board,3,con_8e2ac48416595f28bf5bd4b58c497253,1,,per_126a8d403f995673910e552b84885c75,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_2975279df8ce5342b8cf405d186453ca,Susel Munoz Plasencia,"Munoz Plasencia, Susel",toronto_catholic_district_school_board,3,con_8e2ac48416595f28bf5bd4b58c497253,2,per_8fb70544db8b5c37aacad9ea906ac6c3,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_0f374e3c7faf50efad35d99d3ded7c81,Axel Arvizu,"Arvizu, Axel",toronto_district_school_board,7,con_c213b726359954a995e73b8258d18962,1,,per_445d686ec88e5d98850708900a057087,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_01172eb55cf256048374d94ac7781410,Gladstone Cherrington,"Cherrington, Gladstone",toronto_district_school_board,7,con_c213b726359954a995e73b8258d18962,2,per_76ceb4bd77eb5da7837ab422228e4680,,results-2026-08-27.1,ba5a660
toronto-trustee-2026,can_ebe410d080165a28b82f117b6af06140,Adam Golding,"Golding, Adam",toronto_district_school_board,7,con_c213b726359954a995e73b8258d18962,3,,per_5d9b1cbc232752a6a673870fddc99816,results-2026-08-27.1,ba5a660
