decision_id,cohort_id,subject_candidacy_id,prior_candidacy_id,observed_ballot_name,election_date,represented_body,office_type,district_name,decision,identity_bridge,evidence_urls,rationale
trd_47992c69ee9f5725b8fd14533fb0c2db,toronto-trustee-2026,can_4b90bb3f92415cbeacd9c49294844657,can_fecf9325b2255a1fb53eab4315b39cb2,Rosina Bonavota,2006-11-13,toronto_city_council,councillor,Ward 15,hold,No qualifying bridge from the verified 2006/2010 historical chain to the 2026 filing was found.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://kscheuer.wordpress.com/2010/05/26/rosina-bonavota-withdraws-ward-15/;https://www.toronto.ca/wp-content/uploads/2017/08/8f72-election-2006-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9021-election-2014-councillor-poll-by-poll-results.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: The Town Crier explicitly links 2006 to 2010 and the official result is preserved, but the new pass found no qualifying bridge to the 2026 candidate."
trd_03b648215cb05f10ad44d7cbc312bba6,toronto-trustee-2026,can_4b90bb3f92415cbeacd9c49294844657,can_345928295d205f4f9b021abe7ec36281,Rosina Bonavota,2010-10-25,toronto_catholic_district_school_board,trustee,Ward 5,hold,No qualifying bridge from the verified 2006/2010 historical chain to the 2026 filing was found.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://kscheuer.wordpress.com/2010/05/26/rosina-bonavota-withdraws-ward-15/;https://www.toronto.ca/wp-content/uploads/2017/08/8f72-election-2006-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9021-election-2014-councillor-poll-by-poll-results.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: The Town Crier explicitly links 2010 to 2006 and the official result is preserved, but the new pass found no qualifying bridge to the 2026 candidate."
trd_aaf1c9e5873050dfb090f4c909a922cb,toronto-trustee-2026,can_4b90bb3f92415cbeacd9c49294844657,can_da0b9b406bb4561996957b73cb4c51f4,Rosina Bonavota,2014-10-27,toronto_city_council,councillor,Ward 21,hold,No qualifying current-to-prior bridge was found.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://kscheuer.wordpress.com/2010/05/26/rosina-bonavota-withdraws-ward-15/;https://www.toronto.ca/wp-content/uploads/2017/08/8f72-election-2006-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9021-election-2014-councillor-poll-by-poll-results.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: The 2014 result and earlier historical chain remain verified, but the new pass found no qualifying bridge to the 2026 candidate."
trd_aeedf567aeef57c4a7e343a85cbf1ec6,toronto-trustee-2026,can_4b90bb3f92415cbeacd9c49294844657,can_527b6aa50eae5ddeaa910dc089da26f4,Rosina Bonavota,2022-10-24,toronto_catholic_district_school_board,trustee,Ward 9,hold,No qualifying source explicitly connects the 2022 Ward 9 candidate to the 2026 Ward 9 filer.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://kscheuer.wordpress.com/2010/05/26/rosina-bonavota-withdraws-ward-15/;https://www.toronto.ca/wp-content/uploads/2017/08/8f72-election-2006-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9021-election-2014-councillor-poll-by-poll-results.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf;https://elections.ontarioschooltrustees.org/2022Election/Query.aspx?board=Toronto+Catholic+District+School+Board&lang=en,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: The same ward and uncommon name are strong leads and the 2022 result is preserved, but the new pass found no qualifying identity bridge."
trd_1b42fbe7a57a5b9da485503e8c54e024,toronto-trustee-2026,can_62de67b8b5ec5d119f07221a40f6132a,can_2b781d644edf51d3b5210f32acb60c77,Renato Fallico,2022-10-24,toronto_catholic_district_school_board,trustee,Ward 9,hold,No source explicitly links the 2022 Ward 9 candidate to the certified 2026 Ward 9 filer.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://tcdsbpublishing.escribemeetings.com/FileStream.ashx?DocumentId=32333;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf;https://elections.ontarioschooltrustees.org/2022Election/Query.aspx?board=Toronto+Catholic+District+School+Board&lang=en;https://thelocal.to/ward-10-spadina-fort-york/,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: The 2022 result, occupation, 2024 board engagement, and current filing are preserved, but Sol found no qualifying identity bridge beyond the uncommon name and recurring TCDSB context."
trd_4593168f174b5eedac25707aed54aa4a,toronto-trustee-2026,can_7aab9acba89353a7a68beeb8345c4884,can_569b3978bc4e54f5a9f25776afb05ed6,Angus Grant,2018-10-22,toronto_district_school_board,trustee,Ward 19,hold,"No current biography, contact, or prior-run statement joins the two trustee occurrences.",https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://secure.toronto.ca/EFD/jsf/candidate2018/candidate_campaign_status.xhtml?campaign=15;https://www.ontario.ca/orders-in-council/oc-8552018;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: The 2018 candidacy and a Toronto public appointment remain verified, but no qualifying bridge to the 2026 Ward 11 filing was found."
trd_d7e0341ad0485b6aa94e996c8b0d009e,toronto-trustee-2026,can_d4c1bd7d367e520b8bbc362ec0f3fc2c,can_d6cdbb1bc2585b309b7c29d27af6aaf1,Dameon Halstead,2018-10-22,toronto_city_council,councillor,Ward 23 — Scarborough North,hold,The current domain is attributable to the 2026 filer but its Ward 23 language describes current trustee boundaries and does not claim the 2018 council run.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://dameonhalstead.ca/donate/;https://secure.toronto.ca/EFD/jsf/candidate2018/candidate_campaign_status.xhtml?campaign=15;https://www.campaignlifecoalition.com/voting-records/view/level/councillor/province/on/id/15486/name/dameon-halstead;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: No qualifying bridge was found from the official 2018 occurrence to the certified 2026 candidate."
trd_ff786b46a3485b199620c66a55e4d4f5,toronto-trustee-2026,can_980559d390bb5a989f597daa3a932014,can_e1bf6aae08555be8875fb600b3800e52,Stacey Cline,2025-03-03,toronto_district_school_board,trustee,Ward 11,confirm,Terra independently verified that this canonical occurrence belongs to the certified candidate.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://www.tdsb.on.ca/Media/ctl/Details/mid/45105/itemId/442/20250318164153;https://staceycline.ca/;https://www.toronto.ca/wp-content/uploads/2025/03/8d4b-Declaration-of-Results-Trustee-TDSB-Ward-11-By-Election.pdf,The independent Terra conclusion confirms the occurrence after checking the Luna evidence and collision risks.
trd_eceb350aba42523ea1dd40e43ac26183,toronto-trustee-2026,can_b224bbdcb6f75bf9ab2e818f00be2435,can_3ca80978d9535423bf560a3d358dcc39,John Vassal,2010-10-25,toronto_district_school_board,trustee,Ward 8,hold,Official results establish the historical Ward 8 candidate but no reliable source links that person to the 2026 Ward 6 filer.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: No qualifying bridge was found; the exact name and coherent historical sequence are insufficient."
trd_f22da3d774e45ce9bad6a4e4fe7c5292,toronto-trustee-2026,can_b224bbdcb6f75bf9ab2e818f00be2435,can_8b84d6731cfd5c1f9985c1ad66b9b811,John Vassal,2014-10-27,toronto_district_school_board,trustee,Ward 8,hold,Official results establish the historical Ward 8 candidate but no reliable source links that person to the 2026 Ward 6 filer.,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,"The independent Terra conclusion controls after checking the Luna lead, available evidence, and collision risks. Sol third-pass review: No qualifying bridge was found; the exact name and coherent historical sequence are insufficient."
