current_contest_id,board_id,ward_id,continuity_status,prior_contest_id,evidence_urls,rationale
con_9dfad42bc19054febb28653f85924335,tdsb,1,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_aa96b571d5b058db9f5c5873b2ad4be2,tdsb,2,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_ad4f5205b3585964a574d5cb184c0015,tdsb,3,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_f0150643a3f35151ac2d275530ade22d,tdsb,4,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_9a013150115b54df9d44170dd0a3f2bf,tdsb,5,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_4cf4fb2e9f325676a6c636b56a0ad1d3,tdsb,6,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_c213b726359954a995e73b8258d18962,tdsb,7,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_1a0884275ef45b808c610f448f58c70a,tdsb,8,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_8e5b012815d65be59d5255f662188ff9,tdsb,9,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_e8e6907389e75a47b3b8b8a266333e3c,tdsb,10,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_c477c629359857d4873498d9b38fb38a,tdsb,11,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_46168ef4c0a5528787058bc5a5c98303,tdsb,12,redrawn,,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The TDSB changed from 22 wards to 12 and this 2026 ward combines different 2022 districts.
con_73b70ffb6b6f58899e27e95e50a0d118,tcdsb,1,continuous,con_d52b42c7391c587f90f072f6950fb7bb,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_90c8db1738d658b08389a208de904a13,tcdsb,2,continuous,con_e34dc1438f265d7691fc6b79c3724bdb,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_8e2ac48416595f28bf5bd4b58c497253,tcdsb,3,continuous,con_1b2f227728df5184b309e9b456593335,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_8df041ecda01541b99e89ea83e1ab3cf,tcdsb,4,continuous,con_b51bbe61c5785cec9d2112b56c8ab5ec,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_1a893e0185075aac84aaa2f03ac9b68b,tcdsb,5,continuous,con_aece718216a551319d7c025ae097d5fc,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_5867c4d3f601513d8883161356f89d3e,tcdsb,6,continuous,con_ace78f5109555185bf6ec9998159f6e0,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_e629935a1823529bb36782bd248d73c5,tcdsb,7,continuous,con_c935a24d61de5c5184cc611059afae07,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_c572dabfb348595d8f911d4309942ea0,tcdsb,8,continuous,con_83710555e9cd588aaa6a6353f83be3b9,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_7811050ce6365846b10a6be7c749edf4,tcdsb,9,continuous,con_be5c73e5803d5cce8de847c71abb3370,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_4d496049c9cc579ea889bec791f24b24,tcdsb,10,continuous,con_d203202355e75e308f3fe0eca40bfc8d,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_d655651e923255dd88c1046c498c43e1,tcdsb,11,continuous,con_2a04f9d29ed253f9921933eebbde17d9,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_a0c75724ff3052bfbb5ac028e958dab0,tcdsb,12,continuous,con_269f0ebe95185985880619b421f2ce5c,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City ward or wards to this TCDSB district.
con_a31c9648fd7652af9ebff0c8c31209d0,viamonde,2,continuous,con_5434720239ac5bd29fea88c00e9aedb0,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City wards to Viamonde Ward 2.
con_19627ee1cbdb502fa58102c95fd56f60,viamonde,3,continuous,con_8adca43ff9ce5d0daac685c3f3930acd,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf|https://www.toronto.ca/wp-content/uploads/2023/01/946b-FinalENDeclaration-of-Results-2023-ByElection.pdf,The 2023 rerun is the completed prior election and the official 2022 and 2026 charts assign the same City wards to Viamonde Ward 3.
con_c818d267cd4f567aa8ce58cd5a7046e4,viamonde,4,continuous,con_a70dd05e8cb957c9a0ea85b748d51d80,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City wards to Viamonde Ward 4.
con_115f6fc4b6c05dff81c1ffd7ad9b4628,monavenir,3,continuous,con_37d9e07bca135c0e87cf1546e437c9ca,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf,The official 2022 and 2026 charts assign the same City wards to MonAvenir Ward 3.
con_fe81e8a8b82f5ea38c6e28dd5634adf0,monavenir,4,continuous,con_713b1959968153d8af4c329a0caa1b82,https://www.toronto.ca/wp-content/uploads/2022/04/8ef1-2022-School-Board-Ward-Reference-Chart.pdf|https://www.toronto.ca/wp-content/uploads/2026/04/9600-2026-School-board-ward-reference-chart.pdf|https://www.toronto.ca/wp-content/uploads/2023/01/946b-FinalENDeclaration-of-Results-2023-ByElection.pdf,The 2023 rerun is the completed prior election and the official 2022 and 2026 charts assign the same City wards to MonAvenir Ward 4.
