subject_candidacy_id,represented_body,incumbent_name,reference_date,source_authority,source_url,source_detail
can_d1935130d0db55959dd7c5c1988ba9b3,toronto_district_school_board,Alexis Dawson,2026-08-27,Toronto District School Board,https://pub-tdsb.escribemeetings.com/FileStream.ashx?DocumentId=19358,Official board material identifies Alexis Dawson as a serving trustee.
can_c9f5d329538656ab8517f5c70c4b6939,toronto_district_school_board,Anu Sriskandarajah,2026-08-27,Toronto District School Board,https://pub-tdsb.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=fa9fe8e1-78d3-4b34-bd73-79c77e90b923&lang=English,Official board meeting material identifies Anu Sriskandarajah as a serving trustee.
can_eaaf331141da5743a5e9fe87cbfc73e4,toronto_district_school_board,Deborah Williams,2026-08-27,Toronto District School Board,https://www.tdsb.on.ca/About-Us/Strategy-Planning/Search-All-Reviews/id/179,Official board material identifies Deborah Williams as a serving trustee.
can_2f91a36290e058ea8f377bacce7ea2ff,toronto_district_school_board,Dennis Hastings,2026-08-27,Toronto District School Board,https://www.tdsb.on.ca/About-Us/CEO/Learning-Centre-Model,Official board material identifies Dennis Hastings as a serving trustee.
can_cf329ed10ed3594894c05b6766a5436b,toronto_district_school_board,Farzana Rajwani,2026-08-27,Farzana Rajwani campaign,https://www.farzanarajwani.ca/vision,The incumbent's current campaign biography says she is serving as trustee and seeking re-election.
can_980559d390bb5a989f597daa3a932014,toronto_district_school_board,Stacey Cline,2026-08-27,Toronto District School Board,https://www.tdsb.on.ca/Media/ctl/Details/mid/45105/itemId/442/20250318164153,Official board notice records Stacey Cline's election and swearing-in as trustee.
can_907c9762c2315f14a14ef10fa5bc0950,toronto_district_school_board,Weidong Pei,2026-08-27,Toronto District School Board,https://schoolweb.tdsb.on.ca/newtonbrook/Parents/Trustee-Pei,Official board school material identifies Weidong Pei as a serving trustee.
can_3224e16ce5535e459bc5e4b8f8214aff,toronto_district_school_board,Matias de Dovitiis,2026-08-27,Toronto District School Board,https://www.tdsb.on.ca/Portals/0/docs/2024%20-%2009%20-%20Trustee%20report.pdf,Official board report identifies Matias de Dovitiis as a serving trustee.
can_b9b5b55f5f265132afd62fd721c56705,toronto_catholic_district_school_board,Markus de Domenico,2026-08-27,Toronto Catholic District School Board,https://www.tcdsb.org/article/1883692,Official board announcement identifies Markus de Domenico as the Ward 2 trustee.
can_c43ef763892b58168e61705d887e1c97,toronto_catholic_district_school_board,Ida Li Preti,2026-08-27,Toronto Catholic District School Board,https://assets.tcdsb.org/TCDSB/5771356/tcdsb-budget-estimates-report-2025-2026.pdf,Official board material identifies Ida Li Preti as the Ward 3 trustee.
can_e51ffe35a51f5794b51c81ab5ad77cbc,toronto_catholic_district_school_board,Teresa Lubinski,2026-08-27,Toronto Catholic District School Board,https://www.tcdsb.org/page/ward-4-parkdale-high-park-etobicoke-lakeshore,Official board page identifies Teresa Lubinski as the Ward 4 trustee.
can_bcfeb2fa3b35551290bbd95e4de965b1,toronto_catholic_district_school_board,Maria Rizzo,2026-08-27,Toronto Catholic District School Board,https://www.tcdsb.org/page/ward-5-north-york,Official board page identifies Maria Rizzo as the Ward 5 trustee.
can_0bec302f9a5656f68d9317faf79bd81c,toronto_catholic_district_school_board,Frank D'Amico,2026-08-27,Toronto Catholic District School Board,https://www.tcdsb.org/page/board-of-trustees,Official board roster identifies Frank D'Amico as the Ward 6 trustee.
can_16a76ce95d88555e9f4c4fe393854af1,toronto_catholic_district_school_board,Garry Tanuan,2026-08-27,Toronto Catholic District School Board,https://www.tcdsb.org/page/board-of-trustees,Official board roster identifies Garry Tanuan as the Ward 8 trustee.
can_d8004d3122615bda892d893bba4560ee,toronto_catholic_district_school_board,Angela Kennedy,2026-08-27,Toronto Catholic District School Board,https://www.tcdsb.org/page/board-of-trustees,Official board roster identifies Angela Kennedy as the Ward 11 trustee.
can_2ad9fa52dee954d4a11c8e3bdbbbb5d7,toronto_catholic_district_school_board,Nancy Crawford,2026-08-27,Toronto Catholic District School Board,https://www.tcdsb.org/page/board-of-trustees,Official board roster identifies Nancy Crawford as the Ward 12 trustee.
can_614647480cb456b4acff2b95864b823a,conseil_scolaire_viamonde,Benoit Fortin,2026-08-27,Ontario school trustee election archive,https://elections.ontarioschooltrustees.org/2022Election/Query.aspx?board=Conseil+scolaire+Viamonde&lang=en,The official trustee profile records Benoit Fortin's service since 2018.
can_f1195ba08c7e563a8ac820d7773ed670,conseil_scolaire_viamonde,Anna-Karyna Ruszkowski,2026-08-27,Conseil scolaire Viamonde,https://csviamonde.ca/viamonde/rapport-annuel-2024-2025/lequipe-viamonde,Official board annual report identifies Anna-Karyna Ruszkowski as the Toronto-Centre trustee.
can_be841f8d506757cfb0c1b93dd102e85f,conseil_scolaire_viamonde,Geneviève Oger,2026-08-27,Conseil scolaire Viamonde,https://viamonde-website.preprod.unimatrix.lbo.qa/viamonde/gouvernance/membres,Official board member directory identifies Geneviève Oger as the Toronto-Ouest trustee.
can_9b9511aaebde561a82cfbb130bb8d0b6,conseil_scolaire_catholique_monavenir,Rhea Dechaine,2026-08-27,Conseil scolaire catholique MonAvenir,https://cscmonavenir.ca/publications/rapports-annuel/rapport2223/administration.html,Official board annual report identifies Rhea Dechaine as the Toronto East trustee.
