package_id,endorser_key,canonical_name,event_id,election_date,office_type,disposition,assessed_through,contest_count,district_count,confirmed_assertion_count,unresolved_assertion_count,comprehensive_source_found_count,partially_searched_count,searched_no_endorsement_found_count,source_unavailable_count,not_searched_count,related_contest_ids
epk_2f5a7898a5b35de8a46361941ac4775e,atu_local_113,Amalgamated Transit Union Local 113,evt_d89f777f34365c37b114ca39fb376591,2003-11-10,councillor,partial_evidence_only,2026-08-22,44,44,0,0,0,44,0,0,0,con_02e530a81bf75a6bbf6b4ca0a9ea6738|con_04a4bbe5ef575c72b4ec49d601f24b71|con_18fc5604e3b45ef08d8af9b0813a1918|con_2317176dbf5e5a4fab7fd65b16359ebd|con_28b9bf4109765f57a3a7923479b37af9|con_2befcc6536315440902962b270ad7f70|con_3a262cc7bf83579eae79ce2032ea06d1|con_3c1699cb4b0257ae8cf61da26db0c160|con_46f4af62ff4956f5b31ebec2e77229fa|con_47f9c6bba0165404a3fec5492a0940b3|con_4b3374ab9039564fa8ed1cedf493a0e3|con_5f814673ab4050e5b50e46685dbfbecb|con_6131490bb0d75b1ba4033e2284df71f8|con_61eed2bcd6ce5343bea274fe8a8028bc|con_6beb6fc4da14503aa70fa94b8fe0b600|con_6d24ced99da9539aaaad476a9a2747f4|con_6d7f00a8037754c0a6f34579bee44966|con_727f839c8adc5531bd874edb6b663c05|con_744dd2f798b8521e8de9693750f474d2|con_7b92b7a12bbf5240a728cbe9d42aa420|con_7eba7d2b2ccb57e5aa6ab13c307b2517|con_802f842541d15d899e8f6acf3b86ae45|con_845cf9eb2c1b5ed6b35801d45f86cd82|con_88f5ccc6b744588da3d07590c5dca974|con_90b9ffb191415b13a8c7f334ef771513|con_95ddf0ee07b85a9da9038f871eeefaba|con_99b9fbf5df5f504eb0906d1c2b113d63|con_9d346093453659cba5591e6e2efd506a|con_a060705663a15882b307108144aa8720|con_ab103b8f3a915dd0b0131abea73fad5c|con_abe0e1350e7856ad9a70ffdc75dd84f2|con_ae44722023c153d7a460278c9b621435|con_b5ffb866cf475caca42769d641deb4a7|con_b9bda7a65c8a5e03a69746d0072f95c1|con_be3ee1a1a31f533885cbb71a268beda9|con_bf4b3cd94fcd50ba8d2259a6df440a17|con_c49857c2f0a6591fa165be262c38930c|con_d100fd7c171150b8b18125987b174c3d|con_d18675753b8f580c8834170f374d1e7c|con_d3ecc496be285eebb80559abe5d5f9f1|con_d69bc70f79a45bf397b2a657aa858e50|con_d9eeb6c962c854b58be1e179e2168cb1|con_ec88bd40dff858e695ae9533199be499|con_f3e797bac18a5e45a723ff263eafb93e
epk_efd20d1479745cf6950e22841c87e7e1,atu_local_113,Amalgamated Transit Union Local 113,evt_d89f777f34365c37b114ca39fb376591,2003-11-10,mayor,partial_evidence_only,2026-08-22,1,1,0,0,0,1,0,0,0,con_945161409a0450f29e351ff3f263f815
epk_29239ed00d75516ca5907ee558942555,atu_local_113,Amalgamated Transit Union Local 113,evt_159f073fa6f15c23a840651723d3c3af,2006-11-13,councillor,partial_evidence_only,2026-08-22,44,44,0,0,0,44,0,0,0,con_09d3330e921d5e53ae19007709e75bf9|con_0b8c9e853efa5e3da86b0f1eff65589e|con_107ad5f6c01f5d4389c8194358534375|con_17c2e1a7404c5641823443ca7a6dcc10|con_1969b3b6667f56549d1f35b90f606cbf|con_1c0aff783cfb5ac995b40930229ffd15|con_1fa443b3390f5d6691f7994877cf55c8|con_2070d155d42250abac2e50baf8c6bf39|con_218bbbaab66c59bc8d0d747f3ae2fb3c|con_2c70fd784be55c4794f8294a723dedb9|con_2c97298461635376899e36569d2c7be3|con_2f8a0c46b37950fd9149d9b62f1f0142|con_31d375f206cb5fe1955efa73ae9da43e|con_387d212e18c453e2a8eb298de5c374ff|con_393178f4fb765cd0bbeaa13d06dca32c|con_398774c449785307baa3822c581963e9|con_3ae0da024263524d8e13691dbeeadc88|con_46f7b754b02b57d0a651c417f9f0471d|con_4a5af0945c9a5a01ae50e3a5ea61b3fb|con_4ead7aa21a905ad7bd1838cb33f37045|con_59aa1ee85e2d51ca8dee4338d37665c2|con_610d1afaa15d592eb956835f8fd51600|con_76db9d7d1989548fadeac8b8116dc357|con_77f42d0ca0a15c57a01b5579fef4625a|con_83ded5c17ed75ca788f320a13b17dd08|con_86779f733e9f58e78227d4c49c260033|con_86a1f5b3235452b4a3cb3b3297e4dd51|con_88a17b76344c50ba9a3a118dd558c185|con_899c01be1cc951dfb79010a2fbd8ad10|con_9473b9c31bb55e62ac4432451881acf1|con_95ce62f8d45154c7836ec0372d2a416e|con_b1ec123602ab559c939e1aa02badcd71|con_b4c70c0c6f465c4091dce97cbbd286b3|con_c59d97019dab554698aea8cb6eeb469a|con_c760f9c404835bb595e5671cf893c340|con_c90c50ce5e7c59dbaf6f3fb8efe575fd|con_d0cb7c26d6e55def83cde1da2c9bc8c5|con_d42434b7f93353e6b9eeb64711b54648|con_d4f2ce7b93c75f4ca9c7bc73a4ba2a30|con_e7325536f8e85cffa249480df8a556a2|con_e93ddb13c85852b58b88208c71191394|con_ebbe0512549c59bc8a7a31e7ec5a59e9|con_f0bbc885a5535e28bc005ca644cc4e22|con_f449befd52f1538191ef612c9e711c45
epk_a7b95945cc005b5694f20e3712534d12,atu_local_113,Amalgamated Transit Union Local 113,evt_159f073fa6f15c23a840651723d3c3af,2006-11-13,mayor,partial_evidence_only,2026-08-22,1,1,0,0,0,1,0,0,0,con_5d8609e7e7f4584ea28ad032690bdae8
epk_e3415d4deed950b0aa7f014c393f7e33,atu_local_113,Amalgamated Transit Union Local 113,evt_5a786c1da7ec5e758036205f04351fc5,2010-10-25,councillor,partial_evidence_only,2026-08-22,44,44,0,0,0,44,0,0,0,con_0a880ce7b6ad5bdaa2e2dc7b19601aa8|con_11ea4a9756fd5bc4a466dc797994b068|con_17593cee737354878c920526a9fa7afd|con_1a46b115b13d55619bcaf30903c183e3|con_1cf871058a8c5bc9a34c7dbdf6edca83|con_20589f7261325cd892231ed42321b3cf|con_272ca0eaeab656b89a5038bc74ad9988|con_2ce79e4f63945b9b90a05c245e9382fc|con_33da03ca4a1159089c55d78f4edd2bf3|con_3fd9226a06995ec78201f807f175b930|con_43b57e74c0a454db9f5ed346b6fc7095|con_4977aa6e0a865d788ed7ebf871e4027c|con_5587a8b9ae37546eb39a67333b5011ed|con_579cae8a3fa455a7a3e68d1b1900fffa|con_5c4da484552c546aaff98277d675d594|con_6240f694b6ce5307a2126a9103153475|con_662d709bee42574392549fc786efea0d|con_680464772a025da6aa5eaf650cefb52a|con_7bbdc7e302705fee987b1ebca87ef16d|con_8283f00fca6855af9a0a63e550482bda|con_834d568760e15dcdb0b423512c33fe9c|con_8a8efa738bef57fc9329489f768529c9|con_8c969ca3bbbb537382be9d4ed8dd7697|con_a160a05c9e3e5dd7b972cd5c16d456b0|con_a46853faf8a85598b55614ee5bfc99e2|con_a62a387b9ca8511db50248d4738f3eea|con_b6bdff47e14a590897fb7531e91999d1|con_bdb4bceb8d3d535e9d9284d19bf99bb0|con_be2d96cb623553cdbd79b303f9576bda|con_bf589c2ec43c513aa964b64309534ac6|con_c713b29e028a582893ad021c4a2b8546|con_cceb1911b8545151a85313ea9045fdd6|con_d6f7b1cb92f959ab9408dbb936bcf2ff|con_da88824c2975511d9432812d4988c9d5|con_e14c9528646b58ba89bddde54ae0f23e|con_e358c35644bd5b94b662f1e211fbc70e|con_e689393a84cc500bab2476e3913f093d|con_e78d7e5eb6975c7b98ef0efd13e5c783|con_e8d5ffca829d5a06ad87216dc76d6e6a|con_ebcb4d472e005fbbadabf9f6201cbe13|con_ed22821703705704bff31b43ed036014|con_edd7a5395e9a586bb5289cb5ed1106b3|con_f0cf1eca40845631b0bd4d4750413711|con_fc66f2cac25c5ea58dccc4005672bad8
epk_9906ef25d45154479b462c82a9e44f26,atu_local_113,Amalgamated Transit Union Local 113,evt_5a786c1da7ec5e758036205f04351fc5,2010-10-25,mayor,partial_evidence_only,2026-08-22,1,1,0,0,0,1,0,0,0,con_099fbf24dd655a0e8b1720fbe2215a6a
epk_95c5ebe875d15639b83eb071d92aa668,atu_local_113,Amalgamated Transit Union Local 113,evt_54673fd104ab5ef08eb865e162ac040c,2014-10-27,councillor,partial_evidence_only,2026-08-22,44,44,0,0,0,44,0,0,0,con_004711e5bbda5d169a7774d906befd21|con_0dc4d6b99efa5f32a8f36b24d080bb2d|con_13660de4bc485cc68e0744199d21cb46|con_17f69fde16cb514bb16fb6e361c07fff|con_1e16e8a3edc55c77847b36d881fb8fe7|con_222bdce34cf75bbeb159589e8f46045b|con_2cf721e86d7a55de8cf53a0ae3f6413c|con_2d92299c561559d99eccb92c22f4eb47|con_2f43675e2c5c59b796fafde036252ed1|con_350f0c58a79a574d926206857445b2d9|con_4e3ebb6b13cb5d2396519f9df6fbdf4b|con_4e432b136b83537fb08e7e8485f4949c|con_5161ebd9ab2b5c55bfcd6eef433082c9|con_54d4d8b5d91f5df5ba8bfdf9c61296af|con_59bfad1b37305c63a378a4614deb11ae|con_5babda81dd6351a28a423340a03b5d8a|con_5c8144ae39615a3189a3691c99c5ea4e|con_5cb64f68c501559d960b05fb29843745|con_622c2ee026875ae4ac60200b1559e8f6|con_636fab9611ed540ebff54ad772a1827d|con_639f022801275cedb8f9b4fe82711ae3|con_643801dc921651c3a1ef5d96772fb13d|con_6629fd920f2b5a8d9b7959fafdd04a1a|con_6c708130eaa15c9080cc3cd3a207f63b|con_79a0aa63063d5dd6a5a2ed28c29ecec1|con_7acbde45d7355dbeb5327c8eff9039ed|con_7d07021e53b35a609a75560232a15fd1|con_7ee43d0beaab558c9788d151bbd8d067|con_82f64d71deda5204bf8ba5ab710c21e6|con_a3ad5138021a51309ade19f0cbc4ebe1|con_b123ac953da1590ebb8bca29f5eb3bdc|con_b592d84a34965294a78c84c50bab4ddb|con_c4de914fc9f15a3cab65125ee118d9c8|con_c57f0385335559e696305e7d4e632b40|con_c8a9dfe07ee5545eb20e21d12773c57e|con_d5af05a065045bf9adaf30847252c957|con_d61412ebefff5d2b8bc9183244150abf|con_d8e03f953ae157089237a1febc263587|con_e230d66a67245cd08a806de4208d288b|con_e2f423965407516280c8b3af41b9f5cf|con_e3f1226fd27e5ec6bf5d96a8439cc26a|con_e8f16f1721ce5517977fa5bc1f660248|con_f59fe6995c8b528dbd3cbfbb5c3277c8|con_fed30965855757d399c6acfbd6e6d4f4
epk_21c39e27c1ee5bb3837752f5a95038bd,atu_local_113,Amalgamated Transit Union Local 113,evt_54673fd104ab5ef08eb865e162ac040c,2014-10-27,mayor,partial_evidence_only,2026-08-22,1,1,0,0,0,1,0,0,0,con_9250eb2b2609550597520e68352ac56a
epk_732d9dccec9553789768216a62f8c8d8,atu_local_113,Amalgamated Transit Union Local 113,evt_552c4874312956ae84afbbc5ee91b0f7,2016-07-25,councillor,partial_evidence_only,2026-08-22,1,1,0,0,0,1,0,0,0,con_e3ed783f131d579d8718d34c15675901
epk_7fafd43adb785a3091b1c62508ed9a7f,atu_local_113,Amalgamated Transit Union Local 113,evt_b8284a5341635f79babdf7ddc512c2f6,2017-02-13,councillor,partial_evidence_only,2026-08-22,1,1,0,0,0,1,0,0,0,con_bb2bdc05e1365857b524a0a6596b48d5
